BA,British Airways
T3,Eastern Airways Limited
3W,Euro Manx
BD,BMI British Midland
AF,Air France
WW,BMI Baby
U2,Easyjet
TS,Air Transat Inc
BE,FlyBe
CB,Suckling Airways
FR,Ryanair
GR,Aurigny Air Services
RE,Aer Arran
VB,Duo Airways
BS,British International Helicopters
CX,Cathay Pacific
VG,VLM
5Q,Euroceltic Airways Limited
6G,Air Wales Limited
BI,Royal Brunei Airlines
LOG,Loganair
RB,Syrian Arab Airlines
TP,TAP Aiirlines - Portugal!!!
WOW,Air Southwest
CF,City Airline
BY,Britannia Airways
OU,Croatia Airlines
QF,Qantas Airways
RC,Faroe Islands Atlantic Airways
LS,Channel Express
TOM,Thomson Fly
