NaPTAN,DepartureBoard,ArrivalsBoard,GeneralInformation
9200BHX,http://www.bhx.co.uk/page.aspx?type=T0NaZj9WNoU=&id=KF6Bw2o1WuQ=,http://www.bhx.co.uk/page.aspx?type=T0NaZj9WNoU=&id=KF6Bw2o1WuQ=,http://www.bhx.co.uk
9200BHX1,http://www.bhx.co.uk/page.aspx?type=T0NaZj9WNoU=&id=KF6Bw2o1WuQ=,http://www.bhx.co.uk/page.aspx?type=T0NaZj9WNoU=&id=KF6Bw2o1WuQ=,http://www.bhx.co.uk
9200BHX2,http://www.bhx.co.uk/page.aspx?type=T0NaZj9WNoU=&id=KF6Bw2o1WuQ=,http://www.bhx.co.uk/page.aspx?type=T0NaZj9WNoU=&id=KF6Bw2o1WuQ=,http://www.bhx.co.uk
9200BLK,,,
9200BLK1,,,
9200BRS,http://www.bristolairport.co.uk/flight_information/departures_board.aspx,http://www.bristolairport.co.uk/flight_information/arrivals_board.aspx,http://www.bristolairport.co.uk
9200BRS1,http://www.bristolairport.co.uk/flight_information/departures_board.aspx,http://www.bristolairport.co.uk/flight_information/arrivals_board.aspx,http://www.bristolairport.co.uk
9200EMA,http://www.eastmidlandsairport.com/cms/8/arrivals-departures.html,http://www.eastmidlandsairport.com/cms/8/arrivals-departures.html,http://www.eastmidlandsairport.com
9200EMA1,,,
9200EXT,http://www.exeter-airport.co.uk/site/1/Flight_Departures.html,http://www.exeter-airport.co.uk/site/1/Flight_Arrivals.html,http://www.exeter-airport.co.uk/site/1/Airport_Facilities.html
9200EXT1,http://www.exeter-airport.co.uk/site/1/Flight_Departures.html,http://www.exeter-airport.co.uk/site/1/Flight_Arrivals.html,http://www.exeter-airport.co.uk/site/1/Airport_Facilities.html
9200HUY,,,
9200HUY1,http://www.humbersideairport.com/cms/7/arrivals-departures.html,http://www.humbersideairport.com/cms/7/arrivals-departures.html,
9200LGW,http://www.gatwickairport.com/portal/page/LGW%5EFlight+Information%5ELive+Flight+Departures/,http://www.gatwickairport.com/portal/page/LGW%5EFlight+Information%5ELive+Flight+Arrivals/,http://www.gatwickairport.com/
9200LGW1,http://www.gatwickairport.com/portal/page/LGW%5EFlight+Information%5ELive+Flight+Departures/,http://www.gatwickairport.com/portal/page/LGW%5EFlight+Information%5ELive+Flight+Arrivals/,http://www.gatwickairport.com/
9200LGW2,http://www.gatwickairport.com/portal/page/LGW%5EFlight+Information%5ELive+Flight+Departures/,http://www.gatwickairport.com/portal/page/LGW%5EFlight+Information%5ELive+Flight+Arrivals/,http://www.gatwickairport.com/
9200LHR,,,http://www.heathrowairport.com/
9200LHR1,,,http://www.heathrowairport.com/
9200LHR2,,,http://www.heathrowairport.com/
9200LHR3,,,http://www.heathrowairport.com/
9200LHR4,,,http://www.heathrowairport.com/
