CarParkRef,CarParkName,URL,MinimumCost,Note,Easting,Northing
929696,Park and Ride,http://www.stirling.gov.uk/index/services_homepage/roads/rt-park_and_ride.htm,,Operates Saturdays 10:00 to 18:00,281162,693357
929704,Falkirk West (Carmuirs) Park and Ride,http://www.falkirk.gov.uk/DevServices/TransportPlanning/Businfo/parkandride.htm,0,Operates Monday to Saturday 07:30 to 18:00,285371,680769
929705,Car Park,http://www.ferrytoll.org/,0,The car park is open from 05:10 to 00:15 on Mondays to Saturdays; 05:10 to 00:30 on Saturdays; 05:10 to 00:15 on Sundays,312976,683658
929746,Perth Park and Ride,http://www.perthshire.com/residents/Transport+and+Roads/Public+transport/Park+and+ride/Park+and+Ride.htm,0,The Park & Ride service operates between 07:00 and 19:14 Monday to Saturday,308281,722767
929747,Scone Park and Ride,http://www.perthshire.com/residents/Transport+and+Roads/Public+transport/Park+and+ride/Park+and+Ride.htm,0,The park and ride service operates Monday to Friday 06:36 to 19:58; 07:16 to 19:58 on Saturdays; 09:56 to 19:58 on Sundays,314315,726744
929795,Ferrytoll Park and Ride,http://www.edinburgh.gov.uk/transportedinburgh/roads/Rides/ride.html,0,The car park is open from 05:10 to 00:15 on Mondays to Saturdays; 05:10 to 00:30 on Saturdays; 05:10 to 00:15 on Sundays,312459,681972
929796,Newcraighall Park and Ride,http://www.edinburgh.gov.uk/transportedinburgh/roads/Rides/ride.html,50,Up to 24 hours parking,331762,671801
929797,Ingliston Park and Ride,http://www.edinburgh.gov.uk/transportedinburgh/roads/Rides/ride.html,0,,315008,673384
929798,Hermiston Park and Ride,http://www.edinburgh.gov.uk/transportedinburgh/roads/Rides/ride.html,0,,318590,670288
929733,Bridge of Don Park and Ride,http://www.aberdeencity.gov.uk/acc_data/service/park_&_ride_-_infrastructure.asp,0,,394716,810346
929734,Kingswells Park and Ride,http://www.aberdeencity.gov.uk/acc_data/service/park_&_ride_-_infrastructure.asp,0,,386638,806541
929899,Milton Keynes Coachway,http://www.mkweb.co.uk/transport/documents/PR_Leaflet_18.01.04.pdf,,The Park and Ride car park will be closed and the gate at the entrance locked at 22:00 every evening and unlocked at 05:00 every morning (including Sundays and Bank Holidays),489203,240543
929700,Basingstoke Car Park,http://www.basingstoke.gov.uk/services/transport/publictransport/CentreShuttle.htm,,,462047,152580
929707,Hop Oast Park and Ride,http://www.horsham.gov.uk/your_area/your_area_1931.asp,150,The daily charge is for each car and the current charges are £1.50 per car on weekdays and £1 per car on Saturdays; Open from 06:30 to 22:00 Mondays to Saturdays,516187,128743
929708,Horsted Park,http://www.medway.gov.uk/index/environment/publictransport/buses/20119.htm,0,Operates Saturdays 09:00 to 18:00,574734,164562
929709,Loddon Bridge Park and Ride,http://www.reading-travelinfo.co.uk/UTMC29B.NET/GeneralPages/Category.aspx?cat=9,0,Car park is open from 07:00 to 19:00 Monday to Friday; 08:00 to 19:00 on Saturdays,476665,171450
929710,Madejski Stadium Park and Ride,http://www.reading-travelinfo.co.uk/UTMC29B.NET/GeneralPages/Category.aspx?cat=9,0,The car park is supervised from 07:00 to 19:00,470894,169686
929711,Home Park Car Park,http://www.windsor.gov.uk/transport/park_and_ride.htm,50,Up to one hour 50p; up to 2 hours £1; up to 4 hours £1.50; up to 5 hours and over £2,496891,177320
929712,Legoland Shuttle Park and Ride,http://www.windsor.gov.uk/transport/park_and_ride.htm,0,The service operates 7 days a week from 10:15 to 18:45; this extends during the Park’s summer peak season (July and August) to run up until 20:15,493105,173314
929731,Barfield Park and Ride,http://www.winchester.gov.uk/ServiceL.asp?id=310,200,All day parking; car park opening times: Monday to Saturday 07:00 to 19:00; Car Parks are not open on Sundays or Public Holidays,448690,128570
929732,St Catherines Park and Ride,http://www.winchester.gov.uk/ServiceL.asp?id=310,200,All day parking; car park opening times: Monday to Saturday 07:00 to 19:00; Car Parks are not open on Sundays or Public Holidays,448801,128223
929754,Wincheap Park And Pide,http://www.canterbury.gov.uk/cgi-bin/buildpage.pl?mysql=1566,200,All day parking; service operates Monday to Saturday 07:00 to 19:30,613628,156918
929755,New Dover Road Car Park,http://www.canterbury.gov.uk/cgi-bin/buildpage.pl?mysql=1566,200,All day parking; service operates Monday to Saturday 07:00 to 19:30 and Sundays 10:00 to 18:00,616546,156029
929756,Sturry Road,http://www.canterbury.gov.uk/cgi-bin/buildpage.pl?mysql=1566,200,All day parking; service operates Monday to Saturday 07:00 to 19:30,615329,158394
929783,Arlington Car Park,http://www.guildford.gov.uk/GuildfordWeb/Environment/Transport/ParkRide.htm,0,Service operates: 07:30 to 19:30 Monday to Saturday,498972,148211
929784,Spectrum Car Park,http://www.guildford.gov.uk/GuildfordWeb/Environment/Transport/ParkRide.htm,0,Service operates: 07:27 to 23:10 Monday to Friday,500613,150886
929785,Ladymead Car Park,http://www.guildford.gov.uk/GuildfordWeb/Environment/Transport/ParkRide.htm,0,Service operates: 08:30 to 18:00 Saturdays only,499604,150867
929786,Car Park,http://www.guildford.gov.uk/GuildfordWeb/Environment/Transport/ParkRide.htm,0,,498466,150458
929803,London Road Park and Ride,http://www.digitalmaidstone.co.uk/digitalmaidstone/default.aspx?page=379,0,Service operates: 07:00 to 18:30 Monday to Friday; 08:00 to 18:30 Saturdays,573662,157101
929804,Sittingbourne Road Park and Ride,http://www.digitalmaidstone.co.uk/digitalmaidstone/default.aspx?page=379,0,Service operates: 07:00 to 18:32 Monday to Friday; 08:00 to 18:32 Saturdays,576746,156026
929805,Willington Street Park and Ride,http://www.digitalmaidstone.co.uk/digitalmaidstone/default.aspx?page=379,0,Service operates: 07:00 to 18:33 Monday to Friday; 08:00 to 18:33 Saturdays,578559,155236
929806,Combe Quarry Park and Ride,http://www.digitalmaidstone.co.uk/digitalmaidstone/default.aspx?page=379,0,Service operates: 07:00 to 18:29 Monday to Friday; 08:00 to 18:29 Saturdays,576319,154132
929822,Pear Tree Car Park,http://www.oxfordshire.gov.uk/wps/portal/publicsite/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL94039HcCSZnFO8WHOepHogtZIoR8PfJzU4ESkeZAAWNzX_2onNT0xORK_WB9b_0A_YLc0IjyfEdFAKdrMCU!/delta/base64xml/L0lJSk03dWlDU1lBIS9JTGpBQUV5QUJFUkVSRUlrLzRGR2dkWW5LSjBGUm9YZnJ,60,Maximum stay 24 hours (unless arranged),449491,210711
