Region,Location,URL,Comments,Easting,Northing,CarParkRefs
Scotland,Aberdeen,http://www.aberdeenshire.gov.uk/publictransport/parkandride/,"2 sites: Ellon (off A90 Ellon By-pass on the A920 Castle Road), Stonehaven (railway station)",394160,805870,"929738, 929736"
Scotland,Aberdeen,http://www.aberdeencity.gov.uk/acc_data/service/park_&_ride_-_infrastructure.asp,"2 sites: Bridge of Don (near Aberdeen Exhibition and Conference Centre off the Ellon Road) and Kingswells (accessed from the A944 Skene road or the Kingswells - Newhills Road). (Both sites Mon-Sat only)
",394160,805870,"929733, 929734"
Wales,Aberystwyth,http://www.ceredigion.gov.uk/index.cfm?articleid=1133,1 site: on Park Avenue (Mon-Sat only),258495,281690,929693
South West,Barnstaple,http://www.devon.gov.uk/index/transport/parking/park_and_ride.htm,1 site: south of town off A39,255933,133226,929695
South East,Basingstoke,http://www.basingstoke.gov.uk/services/transport/publictransport/CentreShuttle.htm,1 site: Basingstoke Leisure Park,463795,151877,929700
South West,Bath,http://www.bathnes.gov.uk/BathNES/transportandroads/Parking/parkandride/default.htm,"3 sites: Lansdown (north of city), Newbridge (west of city), Odd Down (southwest of city)",375105,164843,"929768, 929769, 929770"
South West,Bristol,http://www.bristol-city.gov.uk/parkandride,"3 sites: A4 Bath Road (south east of city), Long Ashton (south west of city), A4 Portway (north west of city)",358640,173086,"929748, 929749, 929750"
East Anglia,Cambridge,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,"5 sites: Babraham Road (south of city), Cowley Road (north of city), Madingley Road (west of city ), Newmarket Road (east of city), Trumpington (south of Trumpington)",545238,258469,"929817, 929818, 929819, 929820, 929821"
South East,Canterbury,http://www.canterbury.gov.uk/cgi-bin/buildpage.pl?mysql=1566,"3 sites: Wincheap, New Dover Road, Sturry Road",614860,157865,"929754, 929755, 929756"
Wales,Cardiff,"http://www.cardiff.gov.uk/content.asp?nav=2870,4048,4195&id=1237&Positioning_Article_ID=&Language=&parent_directory_id=2865&d1p1=1","3 sites: County Hall (Cardiff Bay) (Sats and Suns only), Crown Way (Sats only), Leckwith Stadium (November to early January only)",318435,176430,"929739, 929740, 929741"
South East,Chatham,http://www.medway.gov.uk/index/environment/publictransport/buses/20119.htm,1 site: Horsted (south of Chatham off A229) (Sats only),575890,167800,929708
South East,Rochester,http://www.medway.gov.uk/index/environment/publictransport/buses/20119.htm,1 site: Horsted (south of Chatham off A229) (Sats only),574288,168058,929708
South West,Cheltenham,http://www.cheltenham.gov.uk/libraries/templates/ourservice.asp?URN=2886&FolderID=0,"2 sites: Cheltenham Racecourse (north of city), Arle Court (west of city)",395083,222352,"929737, 929735"
North West,Chester,http://www.chester.gov.uk/main.asp?page=183,"4 sites: Boughton Heath (south of city), Sealand Road (west of city), Upton - Zoo (north of city), Wrexham Road (south of city)",340544,366267,"929787, 929788, 929789, 929790"
West Midlands,Coventry,http://www.centro.org.uk/wwwroot/Bus/parkride.asp,"2 sites: Coventry Memorial Park (south of city), Austin Drive Courthouse Green (north of city)",433445,279137,"929742, 929743"
Yorkshire and Humber,Doncaster,http://www.doncaster.gov.uk/Living_in_Doncaster/Neighbourhoods/Transport_Strategy/Lakeside_Park_and_Ride.asp,1 site: Lakeside (Vue Cinema),457615,403238,929690
South West,Dorchester,http://www.dorsetforyou.com/index.jsp?articleid=1795,1 site: Dorchester Football Stadium (Wednesdays only),368952,90693,929703
North East,Durham,http://www.durhamparkandride.com/sitefiles/pages/welcome.html,"3 sites: Sniperley (west of city), Belmont (east of city), Howlands Farm (south of city) all Mon-Sat only.",427400,542503,"929751, 929752, 929753"
Scotland,Edinburgh (All Schemes),http://www.edinburgh.gov.uk/transportedinburgh/roads/Rides/ride.html,"4 sites: Ferrytoll (north of city), Newcraighall (east of city), Ingliston (west of city) and Hermiston (west of city)",325650,673940,"929795, 929796, 929797, 929798"
Scotland,Edinburgh (Ferrytoll),http://www.ferrytoll.org/,1 site: Ferrytoll (north side of Forth Bridge),325650,673940,929705
South West,Exeter,http://www.exeter.gov.uk/index.aspx?articleid=1510,"4 sites: Honiton Road, Matford, Sowton, Digby (to the hospital)",292045,92685,"929799, 929800, 929801, 929802"
Scotland,Falkirk,http://www.falkirk.gov.uk/DevServices/TransportPlanning/Businfo/parkandride.htm,1 site: Falkirk West (Carmuirs) (Mon-Sat only),288738,679921,929704
South West,Gloucester,http://www.gloucestershire.gov.uk/index.cfm?articleID=1888,"2 sites: St Oswald's Park (old Cattle Market site), Waterwells Business Park (Quedgley)",383700,218500,"929717, 929718"
South East,Guildford,http://www.guildfordborough.co.uk/GuildfordWeb/Environment/Parking/ParkRide.htm,"4 sites: Arlington (Mon-Sat only), Spectrum (Mon-Fri only), Ladymead (Sat only), The University (Sat only)",499743,149475,"929783, 929784, 929785, 929786"
South East,Horsham,http://www.horsham.gov.uk/your_area/your_area_1931.asp,1 site: Hop Oast (off A24 on Worthing Road),517190,130460,929700
Yorkshire and Humber,Hull,"http://www.hullcc.gov.uk/portal/page?_pageid=221,99424&_dad=portal&_schema=PORTAL","3 sites: Queen Elizabeth Dock Hedon Road (Mon-Fri only), Priory Park (Mon-Sat only), Walton Street (Mon-Sat only)",509515,428902,"929780, 929781, 929782"
East Anglia,Ipswich,http://www.suffolkcc.gov.uk/transport/park-and-ride/index.shtml,"3 sites: London Road (Mon-Sat only), Bury Road (Mon-Fri only), Martlesham (Mon-Sat only)",616357,244628,"929771, 929772, 929773"
West Midlands,Kidderminster,http://www.wyreforestdc.gov.uk/wfdc_html/clacs/parkride.htm,1 site: Stadium Close (next to Kidderminster Harriers Football Club),383188,276695,929697
London,Kingston,http://www.kingston.gov.uk/transport_and_streets/parking/parkandride.htm,1 site: Chessington World of Adventures (November to early January only),518300,169300,929702
East Midlands,Leicester,http://www.leicester.gov.uk/departments/page.asp?pgid=7486,1 site: Meynells Gorse ,458792,304600,929691
South East,Maidstone,http://www.digitalmaidstone.co.uk/digitalmaidstone/default.aspx?page=379,"4 sites: London Road (Mon-Sat only), Sittingbourne Road (Mon-Sat only), Willington Street (Mon-Sat only), Combe Quarry (Mon-Sat only) ",575980,155793,"929803, 929804, 929805, 929806"
North West,Manchester,http://www.gmpte.com/parkandride,"13 principal sites:  Broadbottom, Brooklands (close to Sale), Cheadle Hulme, Davenport, Hazel Grove, Horwich Parkway (alongside M61),  Ladywell (alongside Ladywell Metrolink station), Lostock (alongside M61), Radcliffe (close to Bury), Romiley, Shaw and Crompton (close to Oldham), Smithy Bridge (close to Rochdale), Westhoughton. ",384244,398379,"929678, 929679, 929680, 929681, 929682, 929683, 929684, 929685, 929686, 929687, 929898, 929692, 929688"
South East,Milton Keynes ,http://www.mkweb.co.uk/transport/documents/PR_Leaflet_18.01.04.pdf,1 site: Milton Keynes Coachway,485183,238755,929899
North East,Newcastle,http://www.newcastle.gov.uk/parking.nsf/a/parkride,"4 sites: Callerton Parkway Metro station, Kingston Park Metro station, Regent Centre Metro Station, New Bridge Street Car Park (Sats only)",424945,564480,"929791, 929792, 929793, 929794"
East Anglia,Norwich,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,"6 sites: Airport (Mon-Sat only), Costessey (Mon-Fri only), Harford (Mon-Sat only), Postwick (Mon-Sat only), Sprowston (Mon-Sat only), Thickthorn ",623028,308510,"929807, 929808, 929809, 929810, 929811, 929812"
East Midlands,Nottingham,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,"5 tram sites: The Forest (north of city), Wilkinson Street (north of city), Moor Bridge (north of city), Hucknell (north of city), Phoenix Park (north of city)  2 Bus sites: Queens Drive (south of city), Racecourse (east of city)",457208,339885,"929829, 929830, 929831, 929832, 929827, 929891, 929828"
South East,Oxford,http://www.oxfordshire.gov.uk/wps/portal/publicsite/kcxml/04_Sj9SPykssy0xPLMnMz0vM0Y_QjzKL94039HcCSZnFO8WHOepHogtZIoR8PfJzU4ESkeZAAWNzX_2onNT0xORK_WB9b_0A_YLc0IjyfEdFAKdrMCU!/delta/base64xml/L0lJSk03dWlDU1lBIS9JTGpBQUV5QUJFUkVSRUlrLzRGR2dkWW5LSjBGUm9YZnJDRUEhLzdfTV8zN00vMjQ2NDYz?WCM_PORTLET=PC_7_M_37M_WCM&WCM_GLOBAL_CONTEXT=http://apps.oxfordshire.gov.uk/wps/wcm/connect/Internet/Council+Services/Roads+and+transport/Parking/RT+-+P+-+Park+and+ride,"5 sites: Peartree (north of city off A34), Redbridge (south of city off A4142), Seacourt (west of city off A34), Thornhill (east of city off A40), Water Eaton (north of city)",451325,206208,"929822, 929823, 929824, 929825, 929826"
Scotland,Perth,http://www.perthshire.com/residents/Transport+and+Roads/Public+transport/Park+and+ride/Park+and+Ride.htm,"2 sites: Glasgow Road (adjacent to Broxden roundabout), Scone (on A94 approach to Scone adjacent to Angus Road roundabout)  ",311740,723470,"929746, 929747"
East Anglia,Peterborough,http://www.peterborough.gov.uk/page-4804,"3 sites: Lynch Wood (southwwest of city centre, off A605 in Alwalton), Maskew Avenue (north of city centre off Bourges Boulevard), Perkins (east of city centre off Oxney Road).  All Sats, Suns and Bank Holidays only, October-January.",519215,298633,"929774, 929775, 929776"
