OperatorCode,PlaceName,PlaceId,NaPTAN,Served,InvalidExchangeOperators,ExchangeNaPTANPlaceName
NX,Aberdeen,1,900090017, ,,900067157|Glasgow#900066154|Edinburgh#900066157|Edinburgh
NX,Aberystwyth,2,900012183,Y,,  
NX,Ashford,8,900058016,Y,,  
NX,Bangor,11,900011621,Y,,  
NX,Barnsley,12,900025212,Y,,  
NX,Barnstaple,13,900042025,Y,,  
NX,Basingstoke,16,900062036,Y,,  
NX,Bath Spa,17,900087025,Y,,  
NX,Bedford,18,900052444,Y,,  
NX,Berwick-upon-Tweed,19,900069032,Y,,  
NX,Birmingham,21,900033023,Y,,  
NX,Blackburn,22,900073021,Y,,  
NX,Blackpool,23,900077131,Y,,  
NX,Bolton,25,900021041,Y,,  
NX,Bournemouth,26,900065026,Y,,  
NX,Bradford,28,900076122,Y,,  
NX,Brighton,30,900059076,Y,,  
NX,Bristol,31,900041065,Y,,  
NX,Burnley,33,900073141,Y,,  
NX,Bury St Edmunds,35,900053654,Y,,  
NX,Cambridge,37,900052074,Y,,  
NX,Canterbury,38,900058056,Y,,  
NX,Cardiff,39,900015035,Y,,  
NX,Carlisle,40,900068051,Y,,  
NX,Carmarthen,41,900014035,Y,,  
NX,Chatham,42,900058766,Y,,  
NX,Chelmsford,43,900054014,Y,,  
NX,Chester,46,900011081,Y,,  
NX,Chesterfield,47,900028034,Y,,  
NX,Chichester,48,900063456,Y,,  
NX,Colchester,50,900053074,Y,,  
NX,Coventry,51,900034013,Y,,  
NX,Crawley,52,900063066,Y,,  
NX,Crewe,53,900020591,Y,,  
NX,Darlington,56,900070142,Y,,  
NX,Derby,58,900027044,Y,,  
NX,Dewsbury,59,900022222,Y,,  
NX,Doncaster,60,900081012,Y,,  
NX,Dorchester,61,900045395,Y,,  
NX,Dover,62,900058136,Y,,  
NX,Dumfries,63,900067407,,,900067157|Glasgow#900066154|Edinburgh#900066157|Edinburgh
NX,Dundee,64,900090097,,,900067157|Glasgow#900066154|Edinburgh#900066157|Edinburgh
NX,Durham,66,900070022,Y,,  
NX,Edinburgh,71,900066154,Y,,  
NX,Edinburgh,71,900066157,Y,,  
NX,Ely,72,900052074,Y,,  
NX,Exeter,74,900044035,Y,,  
NX,Fishguard,81,900014705,Y,,  
NX,Folkestone,82,900058886,Y,,  
NX,Fort William,83,900067387, ,,900067157|Glasgow#900066154|Edinburgh#900066157|Edinburgh
NX,Gatwick Airport,85,900063086,Y,,  
NX,Glasgow,87,900067157,Y,,  
NX,Gloucester,89,900017263,Y,,  
NX,Great Yarmouth,93,900038174,Y,,  
NX,Grimsby,95,900030434,Y,,  
NX,Guildford,96,900060176,Y,,  
NX,Halifax,98,900022032,Y,,  
NX,Harrogate,101,900074132,Y,,  
,,,,,,  
NX,Hartlepool,102,900071232,Y,,  
NX,Harwich,103,900053074,Y,,  
