"From Region","To Region","NaPTAN","Date of Last Change","Date of Issue","Issue Version","Easting","Northing"
"SE","EA","020026143","15/08/2005","25/05/2010","386",526749,247363
"EA","SE","020026144","15/08/2005","25/05/2010","386",526751,247356
"EM","SE","020031004","15/08/2005","25/05/2010","386",495616,264281
"SE","EM","020031005","15/08/2005","25/05/2010","386",495537,264272
"SE","EM","020031006","10/11/2008 14:13:36","25/05/2010","386",495442,264379
"EM","SE","020031007","10/11/2008 14:13:57","25/05/2010","386",495450,264385
"SE","EM","020031020","20/10/2005 14:14:11","25/05/2010","386",499966,266024
"EM","SE","020031021","20/10/2005 14:14:26","25/05/2010","386",499961,266031
"SE","EA","020032076","15/08/2005","25/05/2010","386",516178,260566
"EA","SE","020032077","15/08/2005","25/05/2010","386",516176,260555
"SE","EA","020032082","15/08/2005","25/05/2010","386",508833,265858
"EA","SE","020032083","15/08/2005","25/05/2010","386",508857,265860
"SE","EM","049002739011","20/10/2005 14:20:08","25/05/2010","386",483952,248364
"EM","SE","049002739511","20/10/2005 14:21:08","25/05/2010","386",483952,248391
"SE","EM","049003045300","15/08/2005","25/05/2010","386",478911,240375
"EM","SE","049003045352","15/08/2005","25/05/2010","386",478957,240396
"EM","EA","0500FPARS005","15/08/2005","25/05/2010","386",536977,308443
"EA","EM","0500FPARS007","15/08/2005","25/05/2010","386",536968,308441
"EM","EA","0500FTYDD015","15/08/2005","25/05/2010","386",542538,316599
"EA","EM","0500FTYDD017","15/08/2005","25/05/2010","386",542402,316671
"EA","EM","0500FWHIY025","12/03/2007 16:32:20","25/05/2010","386",524708,297199
"EM","EA","0500FWHIY026","12/03/2007 16:29:47","25/05/2010","386",524703,297208
"EA","EM","0500FWISM009","15/08/2005","25/05/2010","386",534411,303909
"EM","EA","0500FWISM032","15/08/2005","25/05/2010","386",534527,303904
"EM","EA","0500HBYTH001","15/08/2005","25/05/2010","386",504281,275283
"EA","EM","0500HBYTH004","15/08/2005","25/05/2010","386",504287,275286
"EM","EA","0500HFARC002","15/08/2005","25/05/2010","386",520197,295238
"EA","EM","0500HFARC008","15/08/2005","25/05/2010","386",520194,295273
"SE","EA","0500HHAIL002","15/08/2005","25/05/2010","386",516511,262173
"EA","SE","0500HHAIL004","15/08/2005","25/05/2010","386",516514,262181
"EA","SE","0500HSTNS003","15/08/2005","25/05/2010","386",518630,259315
"SE","EA","0500HSTNS010","15/08/2005","25/05/2010","386",518631,259331
"SE","EA","0500HSTNS033","15/08/2005","25/05/2010","386",516910,258464
"EA","SE","0500HSTNS034","15/08/2005","25/05/2010","386",516929,258414
"EA","SE","0500HTILB003","15/08/2005","25/05/2010","386",507687,269073
