"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9200ABZ","Aberdeen Airport",387850,812250,"25/05/2010","386",
"9200BEB","Benbecula Balivanich Airport",78110,855373,"25/05/2010","386",
"9200BHX","Birmingham International Airport",418150,283850,"25/05/2010","386",
"9200BLK","Blackpool International Airport",331450,431800,"25/05/2010","386",
"9200BOH","Bournemouth International Airport",411850,97550,"25/05/2010","386",
"9200BQH","Biggin Hill Airport",541750,161250,"25/05/2010","386",
"9200BRR","Barra North Bay Airport",69450,805950,"25/05/2010","386",
"9200BRS","Bristol International Airport",350626,165532,"25/05/2010","386",
"9200CAL","Campbeltown Machrihanish Airport",168412,622000,"25/05/2010","386",
"9200CBG","Cambridge City Airport",548620,259040,"25/05/2010","386",
"9200COL","Coll Airport",116411,755037,"25/05/2010","386",
"9200CSA","Colonsay Airport",136222,693036,"25/05/2010","386",
"9200CVT","Coventry Baginton Airport",435850,274550,"25/05/2010","386",
"9200CWL","Cardiff International Airport",306950,167450,"25/05/2010","386",
"9200DND","Dundee City Airport",337500,729555,"25/05/2010","386",
"9200DSA","Robin Hood Doncaster Sheffield Airport",465745,398680,"25/05/2010","386",
"9200EDI","Edinburgh Airport",314910,673671,"25/05/2010","386",
"9200EMA","East Midlands Airport",445255,325694,"25/05/2010","386",
"9200EOI","Eday Airport",356150,1034250,"25/05/2010","386",
"9200ESH","Shoreham Brighton City Airport",520480,105111,"25/05/2010","386",
"9200EXT","Exeter International Airport",300120,93340,"25/05/2010","386",
"9200FIE","Fair Isle Airport",421120,1072220,"25/05/2010","386",
"9200FOA","Foula Airport",397030,1137650,"25/05/2010","386",
"9200GLA","Glasgow International Airport",247868,666178,"25/05/2010","386",
"9200GLO","Gloucestershire Airport",388250,221950,"25/05/2010","386",
"9200HUY","Humberside Airport",509420,410880,"25/05/2010","386",
"9200ILY","Islay Glenegedal Airport",133040,651553,"25/05/2010","386",
"9200INV","Inverness Airport",276567,851824,"25/05/2010","386",
"9200ISC","Isles of Scilly St Mary's Airport",91815,10355,"25/05/2010","386",
"9200KOI","Orkney Kirkwall Airport",348175,1007730,"25/05/2010","386",
"9200LBA","Leeds Bradford International Airport",422450,441450,"25/05/2010","386",
"9200LCY","London City Airport",542363,180377,"25/05/2010","386",
"9200LEQ","Land's End St Just Airport",137850,28850,"25/05/2010","386",
"9200LGW","London Gatwick Airport",528575,141320,"25/05/2010","386",
"9200LHR","London Heathrow Airport",507546,176188,"25/05/2010","386",
"9200LPL","Liverpool John Lennon Airport",343157,382650,"25/05/2010","386",
"9200LSI","Sumburgh Airport",439915,1110505,"25/05/2010","386",
"9200LTN","London Luton Airport",511800,221360,"25/05/2010","386",
"9200LWK","Lerwick Tingwall Airport",441920,1145187,"25/05/2010","386",
"9200LYX","Lydd London Ashford Airport",606175,121330,"25/05/2010","386",
"9200MAN","Manchester Airport",381950,384950,"25/05/2010","386",
"9200MME","Durham Tees Valley Airport",436800,513000,"25/05/2010","386",
"9200MSE","Kent International Airport",633950,166150,"25/05/2010","386",
"9200NCL","Newcastle International Airport",418650,571450,"25/05/2010","386",
"9200NDY","Sanday Airport",367310,1040810,"25/05/2010","386",
"9200NQY","Newquay St Mawgan Airport",186735,65143,"25/05/2010","386",
"9200NRL","North Ronaldsay Airport",375550,1053650,"25/05/2010","386",
"9200NWI","Norwich International Airport",621750,313050,"25/05/2010","386",
"9200OBN","Oban (North Connel) Airport",190780,735507,"25/05/2010","386",
"9200OUK","Out Skerries Airport",468800,1171925,"25/05/2010","386",
"9200OXF","London Oxford Airport",447480,215140,"25/05/2010","386",
"9200PIK","Glasgow Prestwick International Airport",235210,627005,"25/05/2010","386",
"9200PLH","Plymouth City Airport",250206,60194,"25/05/2010","386",
"9200PPW","Papa Westray Airport",348950,1052050,"25/05/2010","386",
"9200PSV","Papa Stour Airport",417275,1159780,"25/05/2010","386",
"9200PZE","Penzance Airport",148650,31350,"25/05/2010","386",
"9200SCS","Scatsta Airport",438970,1172758,"25/05/2010","386",
"9200SEN","London Southend Airport",587225,188885,"25/05/2010","386",
"9200SOU","Southampton Airport",445050,116950,"25/05/2010","386",
"9200SOY","Stronsay Airport",363480,1029860,"25/05/2010","386",
"9200STN","London Stansted Airport",555650,223750,"25/05/2010","386",
"9200SWS","Swansea Airport",256850,191350,"25/05/2010","386",
"9200SYY","Stornoway Airport",146160,932800,"25/05/2010","386",
"9200SZD","Sheffield City Airport",441150,388930,"25/05/2010","386",
"9200TRE","Tiree Airport",99850,744750,"25/05/2010","386",
"9200TSO","Isles of Scilly Tresco Airport",89390,14055,"25/05/2010","386",
"9200UNT","Unst Airport",462750,1207650,"25/05/2010","386",
"9200VLY","Anglesey Airport",231055,376075,"25/05/2010","386",
"9200WHS","Whalsay Airport",459302,1166548,"25/05/2010","386",
"9200WIC","Wick Airport",336350,952150,"25/05/2010","386",
"9200WRY","Westray Airport",345980,1052030,"25/05/2010","386",
