"Primary ID","Alternate ID","Date of Last Change","Date of Issue","Issue Version"
"E0041411","N0071490","19/09/2002","25/05/2010","386"
"E0054586","N0071491","19/09/2002","25/05/2010","386"
"E0054635","N0071492","19/09/2002","25/05/2010","386"
"E0041419","N0071493","19/09/2002","25/05/2010","386"
"E0041425","N0071494","19/09/2002","25/05/2010","386"
"E0041432","N0071495","19/09/2002","25/05/2010","386"
"E0040772","N0071496","19/09/2002","25/05/2010","386"
"E0041050","N0071497","19/09/2002","25/05/2010","386"
"E0055113","N0071498","19/09/2002","25/05/2010","386"
"E0055107","N0071499","19/09/2002","25/05/2010","386"
"E0040902","N0071500","19/09/2002","25/05/2010","386"
"E0054655","N0071501","19/09/2002","25/05/2010","386"
"E0054565","N0071502","19/09/2002","25/05/2010","386"
"E0041562","N0070289","04/09/2002","25/05/2010","386"
"E0041544","N0070290","04/09/2002","25/05/2010","386"
"E0054661","N0071506","19/09/2002","25/05/2010","386"
"E0054676","N0071507","19/09/2002","25/05/2010","386"
"E0041596","N0071508","19/09/2002","25/05/2010","386"
"N0071509","N0071510","19/09/2002","25/05/2010","386"
"E0054666","N0071511","19/09/2002","25/05/2010","386"
"E0041672","N0071512","19/09/2002","25/05/2010","386"
"E0041610","N0071513","19/09/2002","25/05/2010","386"
"E0041685","N0071514","19/09/2002","25/05/2010","386"
"E0053653","E0041733","25/09/2002","25/05/2010","386"
"E0057248","N0078148","09/03/2007","25/05/2010","386"
"E0042050","N0078155","09/03/2007","25/05/2010","386"
"E0053735","N0078156","09/03/2007","25/05/2010","386"
"N0070302","E0042097","09/09/2002","25/05/2010","386"
"E0053751","E0042100","09/09/2002","25/05/2010","386"
"N0070308","N0070307","09/09/2002","25/05/2010","386"
"E0057254","N0078144","03/03/2007","25/05/2010","386"
"N0071518","N0071519","19/09/2002","25/05/2010","386"
"E0042411","N0071520","19/09/2002","25/05/2010","386"
"E0042324","N0071521","19/09/2002","25/05/2010","386"
"E0042244","N0071522","19/09/2002","25/05/2010","386"
"E0054703","N0071523","19/09/2002","25/05/2010","386"
"E0042448","E0053755","03/03/2004","25/05/2010","386"
"E0042886","E0042888","19/09/2002","25/05/2010","386"
"E0042896","E0042894","19/09/2002","25/05/2010","386"
"E0042917","N0071527","19/09/2002","25/05/2010","386"
"E0054751","N0071528","19/09/2002","25/05/2010","386"
"E0042847","N0071530","19/09/2002","25/05/2010","386"
"E0042946","N0071532","19/09/2002","25/05/2010","386"
"E0054755","N0071533","19/09/2002","25/05/2010","386"
"E0042865","N0071534","19/09/2002","25/05/2010","386"
"E0042864","N0071535","19/09/2002","25/05/2010","386"
"E0054776","N0071536","19/09/2002","25/05/2010","386"
"E0054767","N0071538","19/09/2002","25/05/2010","386"
"E0042889","N0071539","19/09/2002","25/05/2010","386"
"E0042892","N0071540","19/09/2002","25/05/2010","386"
"E0054759","N0071541","19/09/2002","25/05/2010","386"
"E0042884","N0071542","19/09/2002","25/05/2010","386"
"E0042910","N0071543","19/09/2002","25/05/2010","386"
"E0042887","N0071544","19/09/2002","25/05/2010","386"
"E0054762","N0071545","19/09/2002","25/05/2010","386"
"E0042941","N0071546","19/09/2002","25/05/2010","386"
"E0042898","N0071547","19/09/2002","25/05/2010","386"
"E0042945","N0071548","19/09/2002","25/05/2010","386"
"E0042902","N0071549","19/09/2002","25/05/2010","386"
"N0071550","N0071551","19/09/2002","25/05/2010","386"
"E0042907","N0071552","19/09/2002","25/05/2010","386"
"E0054765","N0071553","19/09/2002","25/05/2010","386"
"E0042926","N0071554","19/09/2002","25/05/2010","386"
"E0042931","N0071555","19/09/2002","25/05/2010","386"
"E0054773","N0071556","19/09/2002","25/05/2010","386"
"E0054769","N0071557","19/09/2002","25/05/2010","386"
"E0042940","N0071558","19/09/2002","25/05/2010","386"
