"Call Centre ID","Traveline Region ID","Call Centre Name","Call Centre Hours","Transfer Phone no","Power User phone no","Notes","Date of Issue","Issue Version"
1,"W","Porthmadog","0700-2200","01766 543101",,"Welsh also spoken","25/05/2010","386"
10,"NW","Preston","0800-2000","01772 849103",,,"25/05/2010","386"
11,"NW","Manchester","0700-2000; SaSu 0800-2000","0161 244 1918",,,"25/05/2010","386"
12,"NE","Cumbria","0700-2000","01946 598203",,,"25/05/2010","386"
13,"NW","Merseyside","0700-2000; SaSu 0800-2000","0151 243 8603",,,"25/05/2010","386"
14,"NW","Warrington","Closed",,,"All calls to Cheshire : 01244 975993","25/05/2010","386"
15,"NW","Halton","Closed",,,"All calls to Merseyside : 0151 243 8603","25/05/2010","386"
16,"NW","Cheshire","0800-2000","01244 975993",,,"25/05/2010","386"
17,"WM","Birmingham","0700-2230","0121 265 7303",,,"25/05/2010","386"
18,"EM","Exeter (EM)","0700-2100","01392 666979",,,"25/05/2010","386"
19,"EM","Nottingham","Closed",,,"All calls to Exeter (EM) : 01392 666979","25/05/2010","386"
2,"W","Swansea","Closed",,,"All calls to Porthmadog : 01766 543101","25/05/2010","386"
20,"EM","Derby","Closed",,,"All calls to Exeter (EM) : 01392 666979","25/05/2010","386"
21,"EM","Leicester","Closed",,,"All calls to Exeter (EM) : 01392 666979","25/05/2010","386"
22,"EM","Northampton","Closed",,,"All calls to Exeter (EM) : 01392 666979","25/05/2010","386"
23,"EA","Chelmsford","0800 - 2000","01245 454467",,,"25/05/2010","386"
24,"EA","Cambridge","Closed",,,"All calls to Chelmsford : 01245 454467","25/05/2010","386"
25,"SE","Exeter (SE)","0700-2200","01392 331021",,,"25/05/2010","386"
26,"SW","Exeter (SW)","0700-2200","01392 686729",,,"25/05/2010","386"
27,"L","Tpt for London","0700-2100","020 3283 6500",,,"25/05/2010","386"
28,"S","Airdrie","24hrs","01236 634479",,,"25/05/2010","386"
3,"W","Cardiff","Closed",,,"All calls to Porthmadog : 01766 543101","25/05/2010","386"
4,"NE","Tyneside","0700-2100","0191 244 5695",,,"25/05/2010","386"
5,"NE","Teeside","Closed",,,"All calls to Tyneside : 0191 244 5695","25/05/2010","386"
6,"Y","Hull","0800-2000","01482 381749",,,"25/05/2010","386"
7,"Y","Sheffield","0700-2200","0114 249 2177",,,"25/05/2010","386"
8,"Y","York","Closed",,,"All calls to Hull : 01482 381749","25/05/2010","386"
9,"Y","Leeds","0700 - 2200","0113 384 9940",,,"25/05/2010","386"
