"Exchange Point ID","National Express ID","Name","Long Name","Easting","Northing","Date of Issue","Issue Version","CoachClusterCode","Group ID"
"NX000005","14101","Aberdare","Aberdare - Duke Street Bus Stn",300506,202499,"25/05/2010","386","900014101","G203"
"NX000006","90017","ABERDEEN","Aberdeen - Guild Street Bus Stn",394196,805940,"25/05/2010","386","900090017","G39"
"NX000008","15175","Abergavenny","Abergavenny Bus Stn",330135,213973,"25/05/2010","386","900015175","G204"
"NX000010","12183","ABERYSTWYTH","Aberystwyth Bus Station",258546,281639,"25/05/2010","386","900012183","G138"
"NX000011","12123","Aberystwyth","Aberystwyth - University Coach Stop",259596,281987,"25/05/2010","386","900012123",
"NX000012","67007","Abington","Abington (S Lanarks) Coach Stops",293190,623445,"25/05/2010","386","900067007",
"NX000013","73111","Accrington","Accrington - Bridge Street Stand K",376141,428562,"25/05/2010","386","900073111","G135"
"NX000014","38114","Acle","Acle (Norfolk) - Kings Head Coach Stop.",640157,310504,"25/05/2010","386","900038114","G205"
"NX000015","12013","Acrefair","Acrefair - Main Rd Coach Stop",328761,343569,"25/05/2010","386","900012013",
"NX000025","61146","Aldershot","Aldershot Bus Stn",486598,150446,"25/05/2010","386","900061146","G207"
"NX000031","53014","Alresford (Essex)","Alresford (Essex) - Main Rd Coach Stop",606626,221946,"25/05/2010","386","900053014","G312"
"NX000033","61197","Alton","Alton - The Butts Coach Stop",471705,139185,"25/05/2010","386","900061197",
"NX000034","21205","Altrincham","Altrincham - Interchange Bus Stn",377012,387984,"25/05/2010","386","900021205","G210"
"NX000036","68312","Ambleside","Ambleside - Bus Shelter, King Street",337589,504272,"25/05/2010","386","900068312",
"NX000037","89015","Amesbury","Amesbury Bus Stn",415510,141370,"25/05/2010","386","900089015",
"NX000041","62216","ANDOVER","Andover - Bus Stn West Street",436268,145596,"25/05/2010","386","900062216","G211"
"NX000045","67027","Annan","Annan - Market Square Coach Stop",319278,566591,"25/05/2010","386","900067027","G212"
"NX000047","67187","Anniesland","Anniesland Cross - Coach Stop",254733,668752,"25/05/2010","386","900067187","G213"
"NX000048","77191","Ansdell","Ansdell Coach Stop",334587,427486,"25/05/2010","386","900077191","G214"
"NX000050","31281","Anwick","Anwick (Lincs) - Coach Stop",511400,350445,"25/05/2010","386","900031281",
"NX000052","90037","ARBROATH","Arbroath Bus Stn",364072,740950,"25/05/2010","386","900090037","G215"
"NX000055","67947","Ardlui","Ardlui (Argyll & Bute) - Hotel Coach Stop",231740,715737,"25/05/2010","386","900067947","G216"
"NX000056","67748","Ardrishaig","Ardrishaig - Chalmers Street Coach Stop",185171,685672,"25/05/2010","386","900067748",
"NX000059","67945","Arrochar","Arrochar - Braeside Stores Coach Stop",229800,704350,"25/05/2010","386","900067945","G217"
"NX000061","63466","Arundel","Arundel Coach Stop",501283,106902,"25/05/2010","386","900063466","G313"
"NX000063","32014","Ashby-de-la-Zouch","Ashby-de-la-Zouch - Market Street Coach Stop",435788,316732,"25/05/2010","386","900032014",
"NX000064","58016","Ashford (Kent)","Ashford (Kent) - Park Street Coach Stop",601188,142875,"25/05/2010","386","900058016","G136"
"NX000066","69123","Ashington","Ashington - Supermarket Coach Stop",427611,587810,"25/05/2010","386","900069123",
"NX000068","21105","Ashton-under-Lyne","Ashton-under-Lyne Bus Stn",393716,399328,"25/05/2010","386","900021105","G219"
"NX000071","31006","Aslackby","Aslackby - Robin Hood Coach Stop",508810,330502,"25/05/2010","386","900031006",
"NX000072","21045","Astley Bridge","Astley Bridge - Blackburn Rd Coach Stop",371471,411753,"25/05/2010","386","900021045",
"NX000076","85014","Attleborough","Attleborough - Queens Square Coach Stop",604800,295425,"25/05/2010","386","900085014","G222"
"NX000078","90827","AVIEMORE","Aviemore - Town Centre Coach Stop",289545,812491,"25/05/2010","386","900090827","G137"
"NX000083","67067","AYR","Ayr - Sandgate Bus Stn",233561,621859,"25/05/2010","386","900067067","G223"
"NX000086","26114","Bakewell","Bakewell Coach Stop",421772,368441,"25/05/2010","386","900026114",
"NX000087","51014","Baldock","Baldock - Market Place Coach Stop",524299,233782,"25/05/2010","386","900051014",
"NX000088","67325","Ballachulish","Ballachulish Coach Stop",207833,758313,"25/05/2010","386","900067325",
"NX000094","90258","Ballinluig","Ballinluig (Perth & Kinross) - Road End Bus Stop",297607,752823,"25/05/2010","386","900090258",
"NX000095","67257","Balloch","Balloch: By-pass Coach Stop",238126,681429,"25/05/2010","386","900067257","G224"
"NX000104","48023","Banbury","Banbury - Bus Stn Bridge Street",445928,240639,"25/05/2010","386","900048023","G225"
"NX000106","11621","Bangor","Bangor - Garth Rd Bus Stn",258184,372183,"25/05/2010","386","900011621","G226"
"NX000110","25212","Barnsley","Barnsley Interchange",434695,406463,"25/05/2010","386","900025212","G40"
"NX000111","42025","Barnstaple","Barnstaple Bus Stn - Belle Meadow Rd",256031,133075,"25/05/2010","386","900042025","G314"
"NX000112","68431","Barrow-in-Furness","Barrow-in-Furness - Cornwallis St Coach Stop",319785,469147,"25/05/2010","386","900068431","G227"
"NX000115","55114","Basildon","Basildon Bus Stn",570512,188383,"25/05/2010","386","900055114","G228"
"NX000116","62036","BASINGSTOKE","Basingstoke Bus Stn",463899,152329,"25/05/2010","386","900062036","G41"
"NX000118","87025","Bath Spa","Bath Spa - Bus Station",375076,164376,"25/05/2010","386","900087025","G42"
"NX000119","87015","Batheaston","Batheaston - Stambridge Coach Stop",378075,167408,"25/05/2010","386","900087015",
"NX000120","59726","Battle","Battle - Abbey Green Coach Stop",574837,115848,"25/05/2010","386","900059726","G229"
"NX000122","86315","Beccles","Beccles - Old Market Coach Stop",642166,290582,"25/05/2010","386","900086315","G230"
"NX000123","46225","Beckhampton","Beckhampton (Wilts) -  A4 Coach Stop",408960,168925,"25/05/2010","386","900046225",
"NX000124","52444","Bedford","Bedford Bus Stn",504685,249860,"25/05/2010","386","900052444","G2"
"NX000127","67737","Bellochantuy","Bellochantuy (Argyll & Bute) - Village Coach Stop",166269,632345,"25/05/2010","386","900067737",
"NX000128","27024","Belper","Belper Bus Station",434670,347398,"25/05/2010","386","900027024","G232"
"NX000129","69133","Belsay","Belsay (Northumberland) - Coach Stop",410198,578698,"25/05/2010","386","900069133",
"NX000139","75312","Beverley","Beverley Bus Stn",503279,439785,"25/05/2010","386","900075312","G234"
"NX000140","59768","Bexhill","Bexhill - Town Hall Square Coach Stop",574005,107561,"25/05/2010","386","900059768","G316"
"NX000142","42845","Bickington","Bickington (North Devon) - Coach Stop",253329,132474,"25/05/2010","386","900042845",
"NX000144","42835","Bideford","Bideford - Quay Coach Stop",245482,126671,"25/05/2010","386","900042835",
"NX000145","84023","Bidford-on-Avon","Bidford-on-Avon Coach Stop",409600,251791,"25/05/2010","386","900084023",
"NX000148","55104","Billericay","Billericay - The Chequers Coach Stop",567522,194807,"25/05/2010","386","900055104","G236"
"NX000149","71012","Billingham","Billingham-on-Tees - Wolviston Rd Coach Stop",445303,524110,"25/05/2010","386","900071012","G237"
"NX000150","31285","Billinghay","Billinghay (Lincs) -  Coach Stop",515717,354818,"25/05/2010","386","900031285",
"NX000151","29034","Bingham","Bingham - White Lion Coach Stop",470135,339790,"25/05/2010","386","900029034","G238"
"NX000152","76212","Bingley","Bingley Coach Stop",410705,439230,"25/05/2010","386","900076212","G239"
"NX000153","58337","Birchington","Birchington - The Square Coach Stop",630283,169062,"25/05/2010","386","900058337","G240"
"NX000155","78011","BIRKENHEAD","Birkenhead - Europa Boulevard Coach Stop",332114,388777,"25/05/2010","386","900078011","G44"
"NX000156","33023","BIRMINGHAM","Birmingham: Central Coach Station, Digbeth",407636,286311,"25/05/2010","386","900033023","G3"
"NX000157","33343","Birmingham","Birmingham International Airport Coach Stop",418312,283929,"25/05/2010","386","900033343","G45"
"NX000164","90228","Birnam for Dunkeld","Birnham - Hotel (for Dunkeld) Coach Stop",303124,741897,"25/05/2010","386","900090228",
"NX000165","51034","Bishops Stortford","Bishops Stortford - Holy Trinity Coach Stop",548854,221229,"25/05/2010","386","900051034","G241"
"NX000168","73021","Blackburn","Blackburn - Boulevard Bus Stn",368400,427958,"25/05/2010","386","900073021","G46"
"NX000169","77131","Blackpool","Blackpool - Talbot Road Bus Station",330975,436500,"25/05/2010","386","900077131","G47"
"NX000170","77151","Blackpool","Blackpool - Pontins Coach Stop",330760,431268,"25/05/2010","386","900077151",
"NX000171","77101","Blackpool","Blackpool - Airport Coach Stop",331094,431822,"25/05/2010","386","900077101",
"NX000175","69143","Blyth","Blyth (Northumberland) - Bridge Street Coach Stop",431517,581542,"25/05/2010","386","900069143",
"NX000178","88215","Bodmin","Bodmin Coach Stop",207125,67122,"25/05/2010","386","900088215",
"NX000179","63436","BOGNOR REGIS","Bognor Regis - High Street Coach Stop",493616,99030,"25/05/2010","386","900063436","G142"
"NX000182","21041","Bolton","Bolton - Moor Lane Bus Stn",371395,409054,"25/05/2010","386","900021041","G218"
"NX000183","72041","Bolton-le-Sands","Bolton-le-Sands (Lancs) - Coach Stop",348234,467904,"25/05/2010","386","900072041",
"NX000187","65016","Boscombe","Boscombe Bus Station",411519,92057,"25/05/2010","386","900065016",
"NX000188","31614","Boston","Boston - Coach Stn St Georges Rd",532431,344011,"25/05/2010","386","900031614","G244"
"NX000190","31207","Bourne","Bourne (Lincs) - Bus Stn",509599,320189,"25/05/2010","386","900031207",
"NX000191","65026","Bournemouth","Bournemouth Travel Interchange",409624,91955,"25/05/2010","386","900065026","G48"
"NX000192","87035","Box","Box (Wilts) Coach Stop",382738,168805,"25/05/2010","386","900087035",
"NX000194","76122","Bradford","Bradford Interchange Coach Stop",416544,432796,"25/05/2010","386","900076122","G4"
"NX000197","85034","Brandon","Brandon (Suffolk) - Old Forge Court Coach Stop",578295,286477,"25/05/2010","386","900085034","G247"
"NX000198","65036","Branksome","Branksome - Poole Rd Coach Stop",405593,91964,"25/05/2010","386","900065036","G248"
"NX000202","42045","Braunton","Braunton (Devon) - George Hotel Coach Stop",248834,136467,"25/05/2010","386","900042045",
"NX000203","41366","Brean Sands","Brean Sands - Pontins Coach Stop",329627,155070,"25/05/2010","386","900041366",
"NX000209","67949","Bridge of Orchy","Bridge of Orchy - Hotel Coach Stop",229741,739611,"25/05/2010","386","900067949","G251"
"NX000210","14425","Bridgend","Bridgend-Sarn Coach Stop",290969,182640,"25/05/2010","386","900014425","G252"
"NX000211","42755","Bridgwater","Bridgwater Coach Stn",330174,137309,"25/05/2010","386","900042755","G253"
"NX000212","75022","Bridlington","Bridlington Bus Stn",518530,466850,"25/05/2010","386","900075022","G143"
"NX000213","45055","Bridport","Bridport - Coach Park West Street",346247,92940,"25/05/2010","386","900045055",
"NX000214","73131","Brierfield","Brierfield: Town Hall Bus Stop",384616,436155,"25/05/2010","386","900073131","G254"
"NX000215","22012","Brighouse","Brighouse Bus Stn",414514,422921,"25/05/2010","386","900022012","G256"
"NX000216","59076","BRIGHTON","Brighton - Pool Valley Coach Stn",531267,103899,"25/05/2010","386","900059076","G49"
"NX000217","59029","Brighton","Brighton - Preston Circus Coach Stop",531076,105456,"25/05/2010","386","900059029",
"NX000219","59008","Brighton","Brighton - Withdean Pk Carden Ave Coach Stop",530089,107963,"25/05/2010","386","900059008",
"NX000221","41065","BRISTOL","Bristol - Marlborough Street Bus Stn",358920,173520,"25/05/2010","386","900041065","G50"
"NX000222","41185","Bristol","Bristol Airport Coach Stop",350640,165534,"25/05/2010","386","900041185",
"NX000226","44185","Brixham","Brixham - Bank Lane Coach Stop",292372,56050,"25/05/2010","386","900044185",
"NX000227","39014","Brixworth","Brixworth - Northampton Road Coach Stop",474808,270638,"25/05/2010","386","900039014",
"NX000229","93057","Broadford (Highland)","Broadford - Post Office Coach Stop",163944,823736,"25/05/2010","386","900093057",
"NX000230","58347","Broadstairs","Broadstairs - High Street Coach Stop",639381,167886,"25/05/2010","386","900058347","G258"
"NX000233","65046","Brockenhurst","Brockenhurst - Lyndhurst Rd Coach Stop",430258,102603,"25/05/2010","386","900065046","G259"
"NX000234","78021","Bromborough","Bromborough Cross - Bus Shelter",335038,382103,"25/05/2010","386","900078021","G260"
"NX000240","15435","Brynmawr","Brynmawr Bus Stn",319135,211638,"25/05/2010","386","900015435",
"NX000244","42315","Bude","Bude - Strand Coach Stop",220863,106354,"25/05/2010","386","900042315",
"NX000248","86064","Bungay","Bungay - Earsham Street Coach Stop",633527,289854,"25/05/2010","386","900086064",
"NX000249","93117","Bunloyne","Bunloyne (Highland) - Junction Coach Stop",221083,810020,"25/05/2010","386","900093117",
"NX000252","41356","BURNHAM-ON-SEA","Burnham-on-Sea - Pier Street Coach Stop",330383,148800,"25/05/2010","386","900041356",
"NX000253","41345","Burnham-on-Sea","Burnham-on-Sea - Holiday Village Coach Stop",330500,148360,"25/05/2010","386","900041345",
"NX000254","73141","Burnley","Burnley Bus Station",384276,432472,"25/05/2010","386","900073141","G51"
"NX000255","43236","Burraton","Burraton (Cornwall) - Coach Stop",241689,59407,"25/05/2010","386","900043236",
"NX000257","32023","Burton-upon-Trent","Burton-upon-Trent - High Street Coach Stop",425075,322899,"25/05/2010","386","900032023","G52"
"NX000258","53654","Bury St Edmunds","Bury St Edmunds - Bus Stn",585175,264313,"25/05/2010","386","900053654","G262"
"NX000259","21351","Bury","Bury Interchange Bus Stn",380369,410562,"25/05/2010","386","900021351",
"NX000260","26024","Buxton","Buxton - Market Place Coach Stop",405828,373270,"25/05/2010","386","900026024","G264"
"NX000261","69152","Byrness","Byrness (Northumberland) Coach Stop",376422,602834,"25/05/2010","386","900069152",
"NX000263","11571","Caernarfon","Caernarfon - Penllyn Bus Stn",248029,362757,"25/05/2010","386","900011571",
"NX000264","12793","Caersws","Caersws Corner - Rail Crossing Coach Stop",303612,291385,"25/05/2010","386","900012793","G265"
"NX000267","67088","Cairndow","Cairndow (Argyll & Bute) - Coach Stop",218426,711324,"25/05/2010","386","900067088",
"NX000270","61206","Reading - Calcot","Reading - Calcot M4 junct 12 Coach Stop",465358,171847,"25/05/2010","386","900061206","G26"
"NX000275","43055","Camborne","Camborne Bus Stn",164826,40026,"25/05/2010","386","900043055","G266"
"NX000276","52074","CAMBRIDGE","Cambridge - City Centre Coach Stops",545612,258254,"25/05/2010","386","900052074",
"NX000278","67747","Campbeltown","Campbeltown Bus Terminal",171999,620592,"25/05/2010","386","900067747",
"NX000279","66218","Camptown","Camptown (Scottish Borders) - Coach Stop",367957,613392,"25/05/2010","386","900066218",
"NX000282","58056","Canterbury","Canterbury Bus Stn",615027,157540,"25/05/2010","386","900058056","G5"
"NX000283","12104","Capel Bangor","Capel Bangor (Ceredigion) - Coach Stop",265192,280349,"25/05/2010","386","900012104",
"NX000284","53216","Capel St Mary","Capel St Mary (Suffolk) Coach Stop",610123,238393,"25/05/2010","386","900053216",
"NX000285","69124","Capheaton","Capheaton (Northumberland) - Road End Coach Stop",403521,581752,"25/05/2010","386","900069124",
"NX000286","43075","Carbis Bay","Carbis Bay - Longstone Cross Coach Stop",153038,38210,"25/05/2010","386","900043075","G269"
"NX000287","15035","CARDIFF","Cardiff Bus Stn",318125,175968,"25/05/2010","386","900015035","G54"
"NX000289","68051","Carlisle","Carlisle Bus Station",340296,555906,"25/05/2010","386","900068051","G55"
"NX000291","14035","Carmarthen","Carmarthen - Blue Street o/s Bus Station",241105,219931,"25/05/2010","386","900014035","G270"
"NX000292","72051","Carnforth","Carnforth - Lancaster Rd Coach Stop",349858,470436,"25/05/2010","386","900072051","G271"
"NX000296","66248","Carter Bar","Carter Bar - Summit Coach Stop",369773,606820,"25/05/2010","386","900066248",
"NX000300","67504","Castle Douglas","Castle Douglas - Carlingwark Street Coach Stop",276125,561817,"25/05/2010","386","900067504",
"NX000307","69142","Catcleugh","Catcleugh (Northumberland) - Coach Stop",374856,603337,"25/05/2010","386","900069142",
"NX000308","74012","Catterick","Catterick Coach Stop",424073,498032,"25/05/2010","386","900074012",
"NX000311","75122","Cayton Bay","Cayton Bay - Haven Holiday Park Coach Stop",506596,484227,"25/05/2010","386","900075122",
"NX000313","43586","Chacewater","Chacewater (Cornwall) - Coach Stop",175121,44436,"25/05/2010","386","900043586",
"NX000314","21461","Chadderton","Chadderton (Manchester) - Broadway Bus Stop",390363,405376,"25/05/2010","386","900021461",
"NX000317","31424","Chapel St Leonards","Chapel St Leonards - Bus Stn",556068,372266,"25/05/2010","386","900031424",
"NX000320","17023","Charlton Kings","Charlton Kings - Bradley Rd Coach Stop",396412,219910,"25/05/2010","386","900017023",
"NX000326","54014","Chelmsford","Chelmsford Bus Station",570455,207042,"25/05/2010","386","900054014","G56"
"NX000327","17043","Cheltenham Spa","Cheltenham Spa - Royal Well Bus Stn",394723,222352,"25/05/2010","386","900017043","G57"
"NX000328","15345","Chepstow","Chepstow Bus Stn",353193,193759,"25/05/2010","386","900015345","G263"
"NX000332","11081","CHESTER","Chester - City Centre Coach Stops",340916,366181,"25/05/2010","386","900011081","G58"
"NX000333","11082","Chester","Chester Zoo Bus Terminal",340701,370295,"25/05/2010","386","900011082",
"NX000334","70012","Chester-le-Street","Chester-le-Street - South Burns Coach Stop",427363,551637,"25/05/2010","386","900070012","G146"
"NX000335","28034","Chesterfield","Chesterfield Bus Stn",438206,370980,"25/05/2010","386","900028034","G59"
"NX000336","63456","Chichester","Chichester Bus Stn",485992,104316,"25/05/2010","386","900063456","G60"
"NX000338","46115","Chippenham","Chippenham - Bath Rd o/s Car Park Coach Stop",391901,173368,"25/05/2010","386","900046115","G147"
"NX000340","12031","Chirk","Chirk - Hand Hotel Coach Stop",329079,337712,"25/05/2010","386","900012031","G272"
