"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300ABA","Aberdeen Ferry Terminal",394550,805994,"25/05/2010","386",
"9300ABD","Aberdaron Ferry Landing",217300,326300,"25/05/2010","386",
"9300ADG","Ardrishaig Pier",185401,685393,"25/05/2010","386",
"9300AGN","St Agnes Isles Of Scilly Ferry Landing",87670,8345,"25/05/2010","386",
"9300AHB","Aird Mhor Barra Ferry Terminal",72123,803817,"25/05/2010","386",
"9300ALT","Altnaharrie Ferry Landing",211545,893076,"25/05/2010","386",
"9300AMB","Ambleside Waterhead Ferry Landing",337676,503168,"25/05/2010","386",
"9300AMH","Gigha Ferry Terminal",165344,649003,"25/05/2010","386",
"9300ANT","Place Ferry Landing",185565,32465,"25/05/2010","386",
"9300APP","Appledore Ferry Landing",246573,130555,"25/05/2010","386",
"9300ARD","Ardrossan Ferry Terminal",222350,642135,"25/05/2010","386",
"9300ARG","Ardgour Ferry Terminal",201683,763625,"25/05/2010","386",
"9300ARI","Arisaig Ferry Landing",165865,786405,"25/05/2010","386",
"9300ARM","Armadale Ferry Terminal",163979,803802,"25/05/2010","386",
"9300ASH","Ashness Gate Derwentwater Ferry Landing",326902,520390,"25/05/2010","386",
"9300AYR","Ayr Compass Pier",233222,622544,"25/05/2010","386",
"9300BAD","Badluarach Ferry Landing",199632,894808,"25/05/2010","386",
"9300BAN","Bantham Ferry Landing",266795,43763,"25/05/2010","386",
"9300BAR","Barmouth Ferry Landing",261513,315465,"25/05/2010","386",
"9300BAY","Barry Waterfront Ferry Terminal",311470,167495,"25/05/2010","386",
"9300BCC","Bristol City Centre Ferry Landing",358572,172747,"25/05/2010","386",
"9300BDG","Bridgwater Ferry Terminal",330695,138665,"25/05/2010","386",
"9300BDY","Bawdsey Ferry Landing",633153,237842,"25/05/2010","386",
"9300BFD","Broadford Ferry Terminal",164455,824190,"25/05/2010","386",
"9300BFN","Bowness Ferry Nab Ferry Landing",339583,495810,"25/05/2010","386",
"9300BFR","Blackfriars Millennium Pier",531561,180774,"25/05/2010","386",
"9300BGP","Barrier Gardens Pier",541828,179399,"25/05/2010","386",
"9300BHH","Bosham Hoe Ferry Landing",480023,102068,"25/05/2010","386",
"9300BHS","Braehead Shopping Centre Ferry Landing",252319,667304,"25/05/2010","386",
"9300BID","Bideford Ferry Landing",245500,126690,"25/05/2010","386",
"9300BLM","Blairmore Pier Ferry Terminal",219536,681737,"25/05/2010","386",
"9300BLS","Brightlingsea Ferry Landing",608575,216185,"25/05/2010","386",
"9300BMT","Belmont (Unst Shetland) Ferry Terminal",456539,1200433,"25/05/2010","386",
"9300BNY","Berneray Ferry Terminal",91523,879860,"25/05/2010","386",
"9300BOC","Burnham on Crouch Ferry Landing",595214,195489,"25/05/2010","386",
"9300BOD","Bodinnick Ferry Landing",212950,52177,"25/05/2010","386",
"9300BOE","Bowness on Windermere Ferry Terminal",340075,496780,"25/05/2010","386",
"9300BOW","Far Sawrey Windermere Ferry Terminal",339078,495693,"25/05/2010","386",
"9300BRA","Bristol Bridge Ferry Landing",358999,172932,"25/05/2010","386",
"9300BRB","Brodick Isle of Arran Ferry Terminal",202229,635971,"25/05/2010","386",
"9300BRC","Castle Park Ferry Landing",359185,173055,"25/05/2010","386",
"9300BRD","Bristol Marina Ferry Landing",357534,172357,"25/05/2010","386",
"9300BRE","The Cottage Ferry Landing",357263,172164,"25/05/2010","386",
"9300BRF","Millennium Square Ferry Landing",358471,172354,"25/05/2010","386",
"9300BRG","ss Great Britain Ferry Landing",357896,172407,"25/05/2010","386",
"9300BRH","Mardyke Ferry Landing",357488,172426,"25/05/2010","386",
"9300BRK","Birkenhead Ferry Terminal",332416,390000,"25/05/2010","386",
"9300BRL","Pumphouse Ferry Landing",357208,172303,"25/05/2010","386",
"9300BRM","Temple Bridge Ferry Landing",359522,172780,"25/05/2010","386",
"9300BRN","Nova Scotia Ferry Landing",357149,172221,"25/05/2010","386",
"9300BRP","Prince Street Bridge Ferry Landing",358610,172317,"25/05/2010","386",
"9300BRQ","Capricorn Quay Ferry Landing",357815,172520,"25/05/2010","386",
"9300BRR","Redcliffe Back Ferry Landing",358986,172742,"25/05/2010","386",
"9300BRS","Bristol Docks Ferry Landing",351215,178625,"25/05/2010","386",
"9300BRT","Temple Meads Station Ferry Landing",359699,172663,"25/05/2010","386",
"9300BRW","Welsh Back Ferry Landing",358940,172811,"25/05/2010","386",
"9300BRX","Brixham Ferry Landing",292605,56372,"25/05/2010","386",
"9300BRY","Bryher Isles Of Scilly Ferry Landing",88085,15050,"25/05/2010","386",
"9300BSE","Cadogan Pier",527463,177605,"25/05/2010","386",
"9300BSI","Brownsea Island Ferry Landing",403180,87671,"25/05/2010","386",
"9300BWC","Burwick Sth Ronaldsay Orkney Ferry Terminal",343785,983951,"25/05/2010","386",
"9300BXM","Brixham Harbour Boarding Stage",292667,56409,"25/05/2010","386",
"9300BYI","Bardsey Island Ferry Landing",211617,320984,"25/05/2010","386",
"9300CAM","Camusnagaul Ferry Landing",209496,775069,"25/05/2010","386",
"9300CAN","Canna Ferry Terminal",127840,805085,"25/05/2010","386",
"9300CAW","Canary Wharf Pier",536919,180264,"25/05/2010","386",
"9300CBA","Castlebay Barra Ferry Terminal",66484,798144,"25/05/2010","386",
"9300CDF","Cardiff – Britannia Quay",319465,174390,"25/05/2010","386",
"9300CDI","Caldey Island Ferry Landing",213692,196928,"25/05/2010","386",
"9300CHH","Mudeford Quay Ferry Landing",418308,91611,"25/05/2010","386",
