"Parent ID","Child ID","Date of Last Change","Date of Issue","Issue Version"
"E0052932","E0034965","11/01/2005","25/05/2010","386"
"E0054812","E0034968","10/09/2008","25/05/2010","386"
"E0054812","E0034971","10/09/2008","25/05/2010","386"
"E0054812","E0034972","10/09/2008","25/05/2010","386"
"E0054812","E0034973","10/09/2008","25/05/2010","386"
"E0052942","E0034978","11/01/2005","25/05/2010","386"
"E0054812","E0034992","10/09/2008","25/05/2010","386"
"E0054812","E0034996","10/09/2008","25/05/2010","386"
"E0054812","E0035004","10/09/2008","25/05/2010","386"
"E0054812","E0035007","10/09/2008","25/05/2010","386"
"E0052919","E0035012","11/01/2005","25/05/2010","386"
"E0054812","E0035014","10/09/2008","25/05/2010","386"
"E0054812","E0035026","10/09/2008","25/05/2010","386"
"E0054812","E0035029","10/09/2008","25/05/2010","386"
"E0054812","E0035033","10/09/2008","25/05/2010","386"
"E0054812","E0035036","10/09/2008","25/05/2010","386"
"E0054812","E0035039","10/09/2008","25/05/2010","386"
"E0052932","E0035041","11/01/2005","25/05/2010","386"
"E0054812","E0035042","10/09/2008","25/05/2010","386"
"E0054812","E0035043","10/09/2008","25/05/2010","386"
"E0054812","E0035045","10/09/2008","25/05/2010","386"
"E0054812","E0035046","10/09/2008","25/05/2010","386"
"E0054816","E0035052","11/01/2005","25/05/2010","386"
"E0054812","E0035053","10/09/2008","25/05/2010","386"
"E0052932","E0035057","11/01/2005","25/05/2010","386"
"E0052899","E0035061","11/01/2005","25/05/2010","386"
"E0035085","E0035065","11/01/2005","25/05/2010","386"
"E0054812","E0035066","10/09/2008","25/05/2010","386"
"E0035052","E0035067","11/01/2005","25/05/2010","386"
"E0054812","E0035068","10/09/2008","25/05/2010","386"
"E0054812","E0035075","10/09/2008","25/05/2010","386"
"E0054812","E0035077","10/09/2008","25/05/2010","386"
"E0054812","E0035081","10/09/2008","25/05/2010","386"
"E0054816","E0035085","11/01/2005","25/05/2010","386"
"E0054812","E0035087","10/09/2008","25/05/2010","386"
"E0052919","E0035090","11/01/2005","25/05/2010","386"
"E0054812","E0035093","10/09/2008","25/05/2010","386"
"E0054812","E0035101","10/09/2008","25/05/2010","386"
"E0054815","E0035104","11/01/2005","25/05/2010","386"
"E0054812","E0035105","10/09/2008","25/05/2010","386"
"E0054812","E0035107","10/09/2008","25/05/2010","386"
"E0054812","E0035121","10/09/2008","25/05/2010","386"
"E0054812","E0035125","10/09/2008","25/05/2010","386"
"E0052911","E0035127","11/01/2005","25/05/2010","386"
"E0052914","E0035128","11/01/2005","25/05/2010","386"
"E0054812","E0035130","10/09/2008","25/05/2010","386"
"E0035085","E0035136","11/01/2005","25/05/2010","386"
"E0054812","E0035137","10/09/2008","25/05/2010","386"
"E0035052","E0035143","11/01/2005","25/05/2010","386"
"E0035085","E0035147","11/01/2005","25/05/2010","386"
"E0054812","E0035148","10/09/2008","25/05/2010","386"
"E0054812","E0035149","10/09/2008","25/05/2010","386"
"E0054812","E0035155","10/09/2008","25/05/2010","386"
"E0054812","E0035160","10/09/2008","25/05/2010","386"
"E0054817","E0035165","11/01/2005","25/05/2010","386"
"E0035085","E0035171","11/01/2005","25/05/2010","386"
"E0035052","N0060712","11/01/2005","25/05/2010","386"
"E0035052","N0060715","11/01/2005","25/05/2010","386"
"E0035052","N0060717","11/01/2005","25/05/2010","386"
"E0035052","N0060718","11/01/2005","25/05/2010","386"
"E0054815","N0060719","11/01/2005","25/05/2010","386"
"E0052899","N0060720","11/01/2005","25/05/2010","386"
"E0054812","N0060721","10/09/2008","25/05/2010","386"
"E0054812","N0060723","10/09/2008","25/05/2010","386"
