"Exchange Point ID","Tiploc Code","CRS Code","Station Name","Easting","Northing","Date of Issue","Issue Version","NaPTAN","Group ID"
"R0000001","ABWD","ABW","Abbey Wood (London) Rail Station",547374,179035,"25/05/2010","386","9100ABWD",
"R0000002","ABER","ABE","Aber Rail Station",314870,186950,"25/05/2010","386","9100ABER",
"R0000004","ABRCYNS","ACY","Abercynon Rail Station",308278,194824,"25/05/2010","386","9100ABRCYNS",
"R0000005","ABDARE","ABA","Aberdare Rail Station",300400,202800,"25/05/2010","386","9100ABDARE","G203"
"R0000006","ABRDEEN","ABD","Aberdeen Rail Station",394127,805872,"25/05/2010","386","9100ABRDEEN","G39"
"R0000007","ABDO","AUR","Aberdour Rail Station",319100,685400,"25/05/2010","386","9100ABDO",
"R0000008","ABDVY","AVY","Aberdovey Rail Station",260600,296000,"25/05/2010","386","9100ABDVY",
"R0000009","ABRE","ABH","Abererch Rail Station",240400,336100,"25/05/2010","386","9100ABRE",
"R0000010","ABRGVNY","AGV","Abergavenny Rail Station",330500,213600,"25/05/2010","386","9100ABRGVNY","G204"
"R0000011","ABGLELE","AGL","Abergele & Pensarn Rail Station",294612,378681,"25/05/2010","386","9100ABGLELE",
"R0000012","ABRYSTH","AYW","Aberystwyth Rail Station",258500,281600,"25/05/2010","386","9100ABRYSTH","G138"
"R0000013","ACRNGTN","ACR","Accrington Rail Station",375700,428600,"25/05/2010","386","9100ACRNGTN","G135"
"R0000014","ACHANLT","AAT","Achanalt Rail Station",226020,861473,"25/05/2010","386","9100ACHANLT",
"R0000015","ACHNSHN","ACN","Achnasheen Rail Station",216403,858519,"25/05/2010","386","9100ACHNSHN",
"R0000016","ACHHSHL","ACH","Achnashellach Rail Station",200290,848440,"25/05/2010","386","9100ACHHSHL",
"R0000017","ACKLNGT","ACK","Acklington Rail Station",422200,601500,"25/05/2010","386","9100ACKLNGT",
"R0000018","ACLE","ACL","Acle Rail Station",639900,310000,"25/05/2010","386","9100ACLE","G205"
"R0000019","ACOCKSG","ACG","Acocks Green Rail Station",412400,283500,"25/05/2010","386","9100ACOCKSG",
"R0000020","ACBG","ACB","Acton Bridge Rail Station",359900,374500,"25/05/2010","386","9100ACBG",
"R0000021","ACTNCTL","ACC","Acton Central Rail Station",520645,180295,"25/05/2010","386","9100ACTNCTL",
"R0000022","ACTONML","AML","Acton Main Line Rail Station",520360,181230,"25/05/2010","386","9100ACTONML",
"R0000023","ADERLYP","ADD","Adderley Park Rail Station",409880,287250,"25/05/2010","386","9100ADERLYP",
"R0000024","ADIEWEL","ADW","Addiewell Rail Station",299500,662300,"25/05/2010","386","9100ADIEWEL",
"R0000025","ADLESTN","ASN","Addlestone Rail Station",505587,164866,"25/05/2010","386","9100ADLESTN",
"R0000026","ADISHAM","ADM","Adisham Rail Station",623391,153976,"25/05/2010","386","9100ADISHAM",
"R0000027","ADLC","ADC","Adlington (Cheshire) Rail Station",391200,380300,"25/05/2010","386","9100ADLC",
"R0000028","ADNL","ADL","Adlington (Lancs) Rail Station",360200,413100,"25/05/2010","386","9100ADNL",
"R0000029","ADWICK","AWK","Adwick Rail Station",454300,408800,"25/05/2010","386","9100ADWICK",
"R0000030","AIGBURT","AIG","Aigburth Rail Station",338400,385700,"25/05/2010","386","9100AIGBURT",
"R0000031","AINSDAL","ANS","Ainsdale Rail Station",331101,412224,"25/05/2010","386","9100AINSDAL",
"R0000032","AINTREE","AIN","Aintree Rail Station",336625,397890,"25/05/2010","386","9100AINTREE",
"R0000033","AIRBLES","AIR","Airbles Rail Station",275034,656191,"25/05/2010","386","9100AIRBLES",
"R0000034","AIRDRIE","ADR","Airdrie Rail Station",276000,665200,"25/05/2010","386","9100AIRDRIE","G206"
"R0000035","ALBNYPK","AYP","Albany Park Rail Station",547900,172900,"25/05/2010","386","9100ALBNYPK",
"R0000036","ALBRGHT","ALB","Albrighton Rail Station",381900,304500,"25/05/2010","386","9100ALBRGHT",
"R0000037","ALDEDGE","ALD","Alderley Edge Rail Station",384317,378563,"25/05/2010","386","9100ALDEDGE",
"R0000038","ALDMSTN","AMT","Aldermaston Rail Station",460006,167350,"25/05/2010","386","9100ALDMSTN",
"R0000039","ALDRSHT","AHT","Aldershot Rail Station",486656,150424,"25/05/2010","386","9100ALDRSHT","G207"
"R0000040","ALDTON","AGT","Aldrington Rail Station",527984,105666,"25/05/2010","386","9100ALDTON",
"R0000041","ALEXNDP","AAP","Alexandra Palace Rail Station",530295,190460,"25/05/2010","386","9100ALEXNDP",
"R0000042","ALXPD","AXP","Alexandra Parade Rail Station",261700,665600,"25/05/2010","386","9100ALXPD",
"R0000043","ALXANDR","ALX","Alexandria Rail Station",239300,679900,"25/05/2010","386","9100ALXANDR",
"R0000044","ALFRETN","ALF","Alfreton Rail Station",442300,356100,"25/05/2010","386","9100ALFRETN",
