"Traveline Region ID","Region Name","Primary URL","Secondary URL","Tertiary URL","Date of Issue","Issue Version","JW Version"
"EA","East Anglia",,,,"25/05/2010","386",
"EM","East Midlands","http://217.34.160.179\scripts\xmlplanner.dll",,,"25/05/2010","386","2.0"
"GB","Great Britain",,,,"25/05/2010","386",
"L","London",,,,"25/05/2010","386",
"NE","North East",,,,"25/05/2010","386",
"NW","North West",,,,"25/05/2010","386",
"S","Scotland",,,,"25/05/2010","386",
"SE","South East",,,,"25/05/2010","386",
"SW","South West",,,,"25/05/2010","386",
"W","Wales",,,,"25/05/2010","386",
"WM","West Midlands",,,,"25/05/2010","386",
"Y","Yorkshire",,,,"25/05/2010","386",
