"Traveline Region ID","Capability","Date of Last Change","Date of Issue","Issue Version"
"EA","3","30/11/2009 19:18:46","25/05/2010","386"
"EA","4","30/11/2009 19:18:46","25/05/2010","386"
"EA","151","30/11/2009 19:18:46","25/05/2010","386"
"EA","152","04/04/2005 10:32:09","25/05/2010","386"
"EA","203","30/11/2009 19:18:46","25/05/2010","386"
"EA","205","30/11/2009 19:18:46","25/05/2010","386"
"EA","206","30/11/2009 19:18:46","25/05/2010","386"
"EA","208","04/04/2005 10:32:09","25/05/2010","386"
"EA","216","30/11/2009 19:18:46","25/05/2010","386"
"EA","254","30/11/2009 19:18:46","25/05/2010","386"
"EA","257","30/11/2009 19:18:46","25/05/2010","386"
"EA","259","30/11/2009 19:18:46","25/05/2010","386"
"EA","301","30/11/2009 19:18:46","25/05/2010","386"
"EA","302","30/11/2009 19:18:46","25/05/2010","386"
"EA","303","30/11/2009 19:18:46","25/05/2010","386"
"EA","304","30/11/2009 19:18:46","25/05/2010","386"
"EA","305","30/11/2009 19:18:46","25/05/2010","386"
"EA","401","30/11/2009 19:18:46","25/05/2010","386"
"EA","451","30/11/2009 19:18:46","25/05/2010","386"
"EA","452","30/11/2009 19:18:46","25/05/2010","386"
"EA","453","30/11/2009 19:18:46","25/05/2010","386"
"EA","454","30/11/2009 19:18:46","25/05/2010","386"
"EA","455","04/04/2005 10:32:09","25/05/2010","386"
"EA","456","30/11/2009 19:18:46","25/05/2010","386"
"EA","501","30/11/2009 19:18:46","25/05/2010","386"
"EA","551","30/11/2009 19:18:46","25/05/2010","386"
"EA","552","30/11/2009 19:18:46","25/05/2010","386"
"EA","554","30/11/2009 19:18:46","25/05/2010","386"
"EA","556","30/11/2009 19:18:46","25/05/2010","386"
"EA","558","30/11/2009 19:18:46","25/05/2010","386"
"EA","651","30/11/2009 19:18:46","25/05/2010","386"
"EA","652","04/04/2005 10:32:09","25/05/2010","386"
"EA","653","30/11/2009 19:18:46","25/05/2010","386"
"EM","3","30/11/2009 19:18:46","25/05/2010","386"
"EM","4","30/11/2009 19:18:46","25/05/2010","386"
"EM","151","30/11/2009 19:18:46","25/05/2010","386"
"EM","152","04/04/2005 10:32:09","25/05/2010","386"
"EM","203","30/11/2009 19:18:46","25/05/2010","386"
"EM","205","30/11/2009 19:18:46","25/05/2010","386"
"EM","206","30/11/2009 19:18:46","25/05/2010","386"
"EM","208","04/04/2005 10:32:09","25/05/2010","386"
"EM","216","30/11/2009 19:18:46","25/05/2010","386"
"EM","254","30/11/2009 19:18:46","25/05/2010","386"
"EM","257","30/11/2009 19:18:46","25/05/2010","386"
"EM","259","30/11/2009 19:18:46","25/05/2010","386"
"EM","301","30/11/2009 19:18:46","25/05/2010","386"
"EM","302","30/11/2009 19:18:46","25/05/2010","386"
"EM","303","30/11/2009 19:18:46","25/05/2010","386"
"EM","304","30/11/2009 19:18:46","25/05/2010","386"
"EM","305","30/11/2009 19:18:46","25/05/2010","386"
"EM","401","30/11/2009 19:18:46","25/05/2010","386"
"EM","451","30/11/2009 19:18:46","25/05/2010","386"
"EM","452","30/11/2009 19:18:46","25/05/2010","386"
"EM","453","30/11/2009 19:18:46","25/05/2010","386"
"EM","454","30/11/2009 19:18:46","25/05/2010","386"
"EM","455","04/04/2005 10:32:09","25/05/2010","386"
"EM","456","30/11/2009 19:18:46","25/05/2010","386"
"EM","501","30/11/2009 19:18:46","25/05/2010","386"
"EM","551","30/11/2009 19:18:46","25/05/2010","386"
"EM","552","30/11/2009 19:18:46","25/05/2010","386"
"EM","554","30/11/2009 19:18:46","25/05/2010","386"
"EM","556","30/11/2009 19:18:46","25/05/2010","386"
"EM","558","30/11/2009 19:18:46","25/05/2010","386"
"EM","651","30/11/2009 19:18:46","25/05/2010","386"
"EM","652","04/04/2005 10:32:09","25/05/2010","386"
"EM","653","30/11/2009 19:18:46","25/05/2010","386"
"L","3","19/05/2005 17:19:13","25/05/2010","386"
"L","4","19/05/2005 17:19:13","25/05/2010","386"
"L","151","19/05/2005 17:19:13","25/05/2010","386"
"L","152","19/05/2005 17:19:13","25/05/2010","386"
"L","203","19/05/2005 17:19:13","25/05/2010","386"
"L","205","19/05/2005 17:19:13","25/05/2010","386"
"L","206","19/05/2005 17:19:13","25/05/2010","386"
"L","208","19/05/2005 17:19:13","25/05/2010","386"
"L","216","19/05/2005 17:19:13","25/05/2010","386"
"L","254","19/05/2005 17:19:13","25/05/2010","386"
"L","257","19/05/2005 17:19:13","25/05/2010","386"
"L","259","19/05/2005 17:19:13","25/05/2010","386"
"L","301","19/05/2005 17:19:13","25/05/2010","386"
"L","302","19/05/2005 17:19:13","25/05/2010","386"
"L","303","19/05/2005 17:19:13","25/05/2010","386"
"L","304","19/05/2005 17:19:13","25/05/2010","386"
"L","305","19/05/2005 17:19:13","25/05/2010","386"
"L","401","19/05/2005 17:19:13","25/05/2010","386"
"L","451","19/05/2005 17:19:13","25/05/2010","386"
"L","452","19/05/2005 17:19:13","25/05/2010","386"
"L","453","19/05/2005 17:19:13","25/05/2010","386"
"L","454","19/05/2005 17:19:13","25/05/2010","386"
"L","455","19/05/2005 17:19:13","25/05/2010","386"
"L","456","19/05/2005 17:19:13","25/05/2010","386"
"L","501","19/05/2005 17:19:13","25/05/2010","386"
"L","551","19/05/2005 17:19:13","25/05/2010","386"
"L","552","19/05/2005 17:19:13","25/05/2010","386"
"L","554","03/08/2009 10:06:02","25/05/2010","386"
"L","556","19/05/2005 17:19:13","25/05/2010","386"
"L","558","19/05/2005 17:19:13","25/05/2010","386"
"L","651","19/05/2005 17:19:13","25/05/2010","386"
"L","652","19/05/2005 17:19:13","25/05/2010","386"
"L","653","19/05/2005 17:19:13","25/05/2010","386"
"NE","3","19/05/2005 17:19:13","25/05/2010","386"
"NE","4","19/05/2005 17:19:13","25/05/2010","386"
"NE","6","19/05/2005 17:19:13","25/05/2010","386"
"NE","151","19/05/2005 17:19:13","25/05/2010","386"
"NE","152","19/05/2005 17:19:13","25/05/2010","386"
"NE","204","19/05/2005 17:19:13","25/05/2010","386"
"NE","205","19/05/2005 17:19:13","25/05/2010","386"
"NE","206","19/05/2005 17:19:13","25/05/2010","386"
"NE","208","19/05/2005 17:19:13","25/05/2010","386"
"NE","215","19/05/2005 17:19:13","25/05/2010","386"
"NE","216","19/05/2005 17:19:13","25/05/2010","386"
"NE","252","19/05/2005 17:19:13","25/05/2010","386"
"NE","257","19/05/2005 17:19:13","25/05/2010","386"
"NE","259","19/05/2005 17:19:13","25/05/2010","386"
"NE","260","19/05/2005 17:19:13","25/05/2010","386"
"NE","301","19/05/2005 17:19:13","25/05/2010","386"
"NE","302","19/05/2005 17:19:13","25/05/2010","386"
"NE","303","19/05/2005 17:19:13","25/05/2010","386"
"NE","304","19/05/2005 17:19:13","25/05/2010","386"
"NE","305","19/05/2005 17:19:13","25/05/2010","386"
"NE","401","19/05/2005 17:19:13","25/05/2010","386"
"NE","451","19/05/2005 17:19:13","25/05/2010","386"
"NE","452","19/05/2005 17:19:13","25/05/2010","386"
"NE","453","19/05/2005 17:19:13","25/05/2010","386"
"NE","454","19/05/2005 17:19:13","25/05/2010","386"
"NE","455","19/05/2005 17:19:13","25/05/2010","386"
"NE","456","19/05/2005 17:19:13","25/05/2010","386"
"NE","501","19/05/2005 17:19:13","25/05/2010","386"
"NE","502","19/05/2005 17:19:13","25/05/2010","386"
"NE","507","30/11/2009 19:19:56","25/05/2010","386"
"NE","508","30/11/2009 19:19:56","25/05/2010","386"
"NE","509","19/05/2005 17:19:13","25/05/2010","386"
"NE","510","30/11/2009 19:19:56","25/05/2010","386"
"NE","511","19/05/2005 17:19:13","25/05/2010","386"
"NE","512","19/05/2005 17:19:13","25/05/2010","386"
"NE","513","30/11/2009 19:19:56","25/05/2010","386"
"NE","551","19/05/2005 17:19:13","25/05/2010","386"
"NE","552","19/05/2005 17:19:13","25/05/2010","386"
"NE","553","30/11/2009 19:19:56","25/05/2010","386"
"NE","554","30/11/2009 19:19:56","25/05/2010","386"
"NE","555","30/11/2009 19:19:56","25/05/2010","386"
"NE","556","19/05/2005 17:19:13","25/05/2010","386"
"NE","558","19/05/2005 17:19:13","25/05/2010","386"
"NE","559","19/05/2005 17:19:13","25/05/2010","386"
"NE","601","19/05/2005 17:19:13","25/05/2010","386"
"NE","602","19/05/2005 17:19:13","25/05/2010","386"
"NE","651","19/05/2005 17:19:13","25/05/2010","386"
"NE","652","19/05/2005 17:19:13","25/05/2010","386"
"NE","653","19/05/2005 17:19:13","25/05/2010","386"
"SE","3","19/05/2005 17:19:13","25/05/2010","386"
"SE","4","19/05/2005 17:19:13","25/05/2010","386"
"SE","151","19/05/2005 17:19:13","25/05/2010","386"
"SE","152","19/05/2005 17:19:13","25/05/2010","386"
"SE","203","19/05/2005 17:19:13","25/05/2010","386"
"SE","205","19/05/2005 17:19:13","25/05/2010","386"
"SE","206","19/05/2005 17:19:13","25/05/2010","386"
"SE","208","19/05/2005 17:19:13","25/05/2010","386"
"SE","216","19/05/2005 17:19:13","25/05/2010","386"
"SE","254","19/05/2005 17:19:13","25/05/2010","386"
"SE","257","19/05/2005 17:19:13","25/05/2010","386"
"SE","259","19/05/2005 17:19:13","25/05/2010","386"
