"Exchange Point ID","National Express ID","Name","Long Name","Easting","Northing","Date of Issue","Issue Version","CoachClusterCode","Group ID"
"NX000005","14101","Aberdare","Aberdare: Duke Street Bus Station",300506,202499,"22/01/2013","1058","900014101","G203"
"NX000006","90017","ABERDEEN","Aberdeen: Guild Street Bus Station",394196,805940,"22/01/2013","1058","900090017","G39"
"NX000008","15175","Abergavenny","Abergavenny Bus Station",330135,213973,"22/01/2013","1058","900015175","G204"
"NX000010","12183","ABERYSTWYTH","Aberystwyth Bus Station",258546,281639,"22/01/2013","1058","900012183","G138"
"NX000011","12123","Aberystwyth","Aberystwyth: University Coach Stop",259596,281987,"22/01/2013","1058","900012123",
"NX000012","67007","Abington","Abington (S Lanarks) Coach Stops",293190,623445,"22/01/2013","1058","900067007",
"NX000013","73111","Accrington","Accrington: Bridge Street Stand K",376141,428562,"22/01/2013","1058","900073111","G135"
"NX000014","38114","Acle","Acle (Norfolk): Kings Head Coach Stop.",640157,310504,"22/01/2013","1058","900038114","G205"
"NX000015","12013","Acrefair","Acrefair: Main Rd Coach Stop",328761,343569,"22/01/2013","1058","900012013",
"NX000025","61146","Aldershot","Aldershot Bus Station",486598,150446,"22/01/2013","1058","900061146","G207"
"NX000031","53014","Alresford (Essex)","Alresford (Essex): Main Rd Coach Stop",606626,221946,"22/01/2013","1058","900053014","G312"
"NX000034","21205","Altrincham","Altrincham: Interchange Bus Station",377012,387984,"22/01/2013","1058","900021205","G210"
"NX000036","68312","Ambleside","Ambleside: Bus Shelter, King Street",337589,504272,"22/01/2013","1058","900068312",
"NX000037","89015","Amesbury","Amesbury Bus Station",415510,141370,"22/01/2013","1058","900089015",
"NX000041","62216","ANDOVER","Andover: Bus Station West Street",436268,145596,"22/01/2013","1058","900062216","G211"
"NX000045","67027","Annan","Annan: Market Square Coach Stop",319278,566591,"22/01/2013","1058","900067027","G212"
"NX000047","67187","Anniesland","Anniesland Cross: Coach Stop",254733,668752,"22/01/2013","1058","900067187","G213"
"NX000048","77191","Ansdell","Ansdell Coach Stop",334587,427486,"22/01/2013","1058","900077191","G214"
"NX000050","31281","Anwick","Anwick (Lincs): Coach Stop",511400,350445,"22/01/2013","1058","900031281",
"NX000052","90037","ARBROATH","Arbroath Bus Station",364072,740950,"22/01/2013","1058","900090037","G215"
"NX000055","67947","Ardlui","Ardlui (Argyll & Bute): Hotel Coach Stop",231740,715737,"22/01/2013","1058","900067947","G216"
"NX000056","67748","Ardrishaig","Ardrishaig: Chalmers Street Coach Stop",185171,685672,"22/01/2013","1058","900067748",
"NX000059","67945","Arrochar","Arrochar: Braeside Stores Coach Stop",229800,704350,"22/01/2013","1058","900067945","G217"
"NX000061","63466","Arundel","Arundel Coach Stop",501893,107095,"22/01/2013","1058","900063466","G313"
"NX000063","32014","Ashby-de-la-Zouch","Ashby de la Zouch: Market Street Coach Stop",435788,316732,"22/01/2013","1058","900032014",
"NX000064","58016","Ashford (Kent)","Ashford (Kent): Town Centre Coach Stops",601188,142875,"22/01/2013","1058","900058016","G136"
"NX000066","69123","Ashington","Ashington: Supermarket Coach Stop",427611,587810,"22/01/2013","1058","900069123",
"NX000068","21105","Ashton-under-Lyne","Ashton-under-Lyne Bus Station",393716,399328,"22/01/2013","1058","900021105","G219"
"NX000071","31006","Aslackby","Aslackby: Robin Hood Coach Stop",508810,330502,"22/01/2013","1058","900031006",
"NX000072","21045","Astley Bridge","Astley Bridge: Blackburn Rd Coach Stop",371471,411753,"22/01/2013","1058","900021045",
"NX000076","85014","Attleborough","Attleborough: Queens Square Coach Stop",604800,295425,"22/01/2013","1058","900085014","G222"
"NX000078","90827","AVIEMORE","Aviemore: Town Centre Coach Stop",289545,812491,"22/01/2013","1058","900090827","G137"
"NX000083","67067","AYR","Ayr: Sandgate Bus Station",233561,621859,"22/01/2013","1058","900067067","G223"
"NX000086","26114","Bakewell","Bakewell Coach Stop",421772,368441,"22/01/2013","1058","900026114",
"NX000087","51014","Baldock","Baldock: Market Place Coach Stop",524299,233782,"22/01/2013","1058","900051014",
"NX000088","67325","Ballachulish","Ballachulish Coach Stop",207833,758313,"22/01/2013","1058","900067325",
"NX000094","90258","Ballinluig","Ballinluig (Perth & Kinross): Road End Bus Stop",297607,752823,"22/01/2013","1058","900090258",
"NX000095","67257","Balloch","Balloch: By pass Coach Stop",238126,681429,"22/01/2013","1058","900067257","G224"
"NX000104","48023","Banbury","Banbury: Bus Station Bridge Street",445928,240639,"22/01/2013","1058","900048023","G225"
"NX000106","11621","Bangor","Bangor: Garth Rd Bus Station",258184,372183,"22/01/2013","1058","900011621","G226"
"NX000110","25212","Barnsley","Barnsley Interchange",434695,406463,"22/01/2013","1058","900025212","G40"
"NX000111","42025","Barnstaple","Barnstaple Bus Station: Belle Meadow Rd",256031,133075,"22/01/2013","1058","900042025","G314"
"NX000115","55114","Basildon","Basildon Bus Station",570512,188383,"22/01/2013","1058","900055114","G228"
"NX000116","62036","BASINGSTOKE","Basingstoke Bus Station",463899,152329,"22/01/2013","1058","900062036","G41"
"NX000118","87025","Bath Spa","Bath Spa: Bus Station",375076,164376,"22/01/2013","1058","900087025","G42"
"NX000120","59726","Battle","Battle: Abbey Green Coach Stop",574837,115848,"22/01/2013","1058","900059726","G229"
"NX000122","86315","Beccles","Beccles: Old Market Coach Stop",642166,290582,"22/01/2013","1058","900086315","G230"
"NX000123","46225","Beckhampton","Beckhampton (Wilts): A4 Coach Stop",408960,168925,"22/01/2013","1058","900046225",
"NX000124","52444","Bedford","Bedford Bus Station",504685,249860,"22/01/2013","1058","900052444","G2"
"NX000127","67737","Bellochantuy","Bellochantuy (Argyll & Bute): Village Coach Stop",166269,632345,"22/01/2013","1058","900067737",
"NX000128","27024","Belper","Belper Bus Station",434670,347398,"22/01/2013","1058","900027024","G232"
"NX000129","69133","Belsay","Belsay (Northumberland): Coach Stop",410198,578698,"22/01/2013","1058","900069133",
"NX000139","75312","Beverley","Beverley Bus Station",503279,439785,"22/01/2013","1058","900075312","G234"
"NX000140","59768","Bexhill","Bexhill: Town Hall Square Coach Stop",574005,107561,"22/01/2013","1058","900059768","G316"
"NX000142","42845","Bickington","Bickington (North Devon): Coach Stop",253329,132474,"22/01/2013","1058","900042845",
"NX000144","42835","Bideford","Bideford: Quay Coach Stop",245482,126671,"22/01/2013","1058","900042835",
"NX000145","84023","Bidford-on-Avon","Bidford on Avon Coach Stop",409600,251791,"22/01/2013","1058","900084023",
"NX000148","55104","Billericay","Billericay: The Chequers Coach Stop",567522,194807,"22/01/2013","1058","900055104","G236"
"NX000149","71012","Billingham","Billingham on Tees: Wolviston Rd Coach Stop",445303,524110,"22/01/2013","1058","900071012","G237"
"NX000150","31285","Billinghay","Billinghay (Lincs): Coach Stop",515717,354818,"22/01/2013","1058","900031285",
"NX000151","29034","Bingham","Bingham: White Lion Coach Stop",470135,339790,"22/01/2013","1058","900029034","G238"
"NX000152","76212","Bingley","Bingley Coach Stop",410705,439230,"22/01/2013","1058","900076212","G239"
"NX000153","58337","Birchington","Birchington: The Square Coach Stop",630283,169062,"22/01/2013","1058","900058337","G240"
"NX000155","78011","BIRKENHEAD","Birkenhead: Europa Boulevard Coach Stop",332114,388777,"22/01/2013","1058","900078011","G44"
"NX000156","33023","BIRMINGHAM","Birmingham: Central Coach Station, Digbeth",407636,286311,"22/01/2013","1058","900033023","G3"
"NX000157","33343","Birmingham","Birmingham International Airport Coach Stop",418312,283929,"22/01/2013","1058","900033343","G45"
"NX000164","90228","Birnam for Dunkeld","Birnham: Hotel (for Dunkeld) Coach Stop",303124,741897,"22/01/2013","1058","900090228",
"NX000165","51034","Bishops Stortford","Bishops Stortford: Holy Trinity Coach Stop",548854,221229,"22/01/2013","1058","900051034","G241"
"NX000168","73021","Blackburn","Blackburn: Boulevard Bus Station",368400,427958,"22/01/2013","1058","900073021","G46"
"NX000169","77131","Blackpool","Blackpool: Central Coach Station",330780,435758,"22/01/2013","1058","900077131","G47"
"NX000170","77151","Blackpool","Blackpool: Pontins Coach Stop",330760,431268,"22/01/2013","1058","900077151",
"NX000175","69143","Blyth","Blyth (Northumberland): Bridge Street Coach Stop",431517,581542,"22/01/2013","1058","900069143",
"NX000178","88215","Bodmin","Bodmin Coach Stop",207125,67122,"22/01/2013","1058","900088215",
"NX000179","63436","BOGNOR REGIS","Bognor Regis: High Street Coach Stop",493616,99030,"22/01/2013","1058","900063436","G142"
"NX000182","21041","Bolton","Bolton: Moor Lane Bus Station",371395,409054,"22/01/2013","1058","900021041","G218"
"NX000183","72041","Bolton-le-Sands","Bolton le Sands (Lancs): Coach Stop",348234,467904,"22/01/2013","1058","900072041",
"NX000188","31614","Boston","Boston: Coach Station St Georges Rd",532431,344011,"22/01/2013","1058","900031614","G244"
"NX000190","31207","Bourne","Bourne (Lincs): Bus Station",509599,320189,"22/01/2013","1058","900031207",
"NX000191","65026","Bournemouth","Bournemouth Travel Interchange",409624,91955,"22/01/2013","1058","900065026","G48"
"NX000192","87035","Box","Box (Wilts) Coach Stop",382738,168805,"22/01/2013","1058","900087035",
"NX000194","76122","Bradford","Bradford Interchange Coach Stop",416544,432796,"22/01/2013","1058","900076122","G4"
"NX000197","85034","Brandon","Brandon (Suffolk): Old Forge Court Coach Stop",578295,286477,"22/01/2013","1058","900085034","G247"
"NX000198","65036","Branksome","Branksome: Poole Rd Coach Stop",405593,91964,"22/01/2013","1058","900065036","G248"
"NX000202","42045","Braunton","Braunton (Devon): George Hotel Coach Stop",248834,136467,"22/01/2013","1058","900042045",
"NX000203","41366","Brean Sands","Brean Sands: Pontins Coach Stop",329627,155070,"22/01/2013","1058","900041366",
"NX000209","67949","Bridge of Orchy","Bridge of Orchy: Hotel Coach Stop",229741,739611,"22/01/2013","1058","900067949","G251"
"NX000210","14425","Bridgend","Bridgend Sarn Coach Stop",290969,182640,"22/01/2013","1058","900014425","G252"
"NX000211","42755","Bridgwater","Bridgwater Coach Station",330174,137309,"22/01/2013","1058","900042755","G253"
"NX000212","75022","Bridlington","Bridlington Bus Station",518530,466850,"22/01/2013","1058","900075022","G143"
"NX000213","45055","Bridport","Bridport: Coach Park West Street",346247,92940,"22/01/2013","1058","900045055",
"NX000214","73131","Brierfield","Brierfield: Town Hall Bus Stop",384616,436155,"22/01/2013","1058","900073131","G254"
"NX000215","22012","Brighouse","Brighouse Bus Station",414514,422921,"22/01/2013","1058","900022012","G256"
"NX000216","59076","BRIGHTON","Brighton: Pool Valley Coach Station",531267,103899,"22/01/2013","1058","900059076","G49"
"NX000217","59029","Brighton","Brighton: Preston Circus Coach Stop",531076,105456,"22/01/2013","1058","900059029",
"NX000219","59008","Brighton","Brighton: Withdean Pk Carden Ave Coach Stop",530089,107963,"22/01/2013","1058","900059008",
"NX000221","41065","BRISTOL","Bristol: Marlborough Street Bus Station",358920,173520,"22/01/2013","1058","900041065","G50"
"NX000222","41185","Bristol","Bristol Airport Coach Stop",350640,165534,"22/01/2013","1058","900041185",
"NX000226","44185","Brixham","Brixham: Bank Lane Coach Stop",292372,56050,"22/01/2013","1058","900044185",
"NX000227","39014","Brixworth","Brixworth: Northampton Road Coach Stop",474808,270638,"22/01/2013","1058","900039014",
