"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G181","Pembroke",198231,201554,"05/02/2007 08:41:53","22/01/2013","1058"
"G184","Porthmadog",256688,338906,"05/02/2007 08:41:53","22/01/2013","1058"
"G185","Prestatyn",306449,382902,"05/02/2007 08:41:53","22/01/2013","1058"
"G186","Pwllheli",237425,334956,"05/02/2007 08:41:53","22/01/2013","1058"
"G187","Ramsgate",638363,164781,"05/02/2007 08:41:53","22/01/2013","1058"
"G188","Rhyl",303348,382393,"05/02/2007 08:41:53","22/01/2013","1058"
"G19","Hertford",532300,212900,"05/02/2007 08:41:53","22/01/2013","1058"
"G190","Skegness",557135,366945,"05/02/2007 08:41:53","22/01/2013","1058"
"G191","Solihull",415385,279682,"05/02/2007 08:41:53","22/01/2013","1058"
"G192","St Blazey",206850,54682,"05/02/2007 08:41:53","22/01/2013","1058"
"G193","St Neots",518595,259190,"05/02/2007 08:41:53","22/01/2013","1058"
"G194","St Osyth",612308,215687,"05/02/2007 08:41:53","22/01/2013","1058"
"G197","Trowbridge",385624,157908,"28/04/2005 17:32:00","22/01/2013","1058"
"G198","Weston-Super-Mare",332420,161030,"09/07/2009 15:37:53","22/01/2013","1058"
"G199","Westward Ho!",243053,129069,"05/02/2007 08:41:53","22/01/2013","1058"
"G2","Bedford",504200,249800,"14/08/2003 16:42:00","22/01/2013","1058"
"G20","Liverpool",335050,390350,"05/02/2007 08:41:53","22/01/2013","1058"
"G201","Wilton",409522,131312,"28/04/2005 17:32:00","22/01/2013","1058"
"G202","Worthing",514603,104396,"05/02/2007 08:41:53","22/01/2013","1058"
"G203","Aberdare",300495,202620,"05/02/2007 08:41:53","22/01/2013","1058"
"G204","Abergavenny",330190,213780,"05/02/2007 08:41:53","22/01/2013","1058"
"G205","Acle",640130,310320,"23/02/2007 07:52:35","22/01/2013","1058"
"G206","Airdrie",276235,665250,"05/02/2007 08:41:53","22/01/2013","1058"
"G207","Aldershot",486610,150440,"05/02/2007 08:41:53","22/01/2013","1058"
"G208","Alness",265930,869530,"05/02/2007 08:41:53","22/01/2013","1058"
"G209","Alton",472230,139690,"23/02/2007 07:52:35","22/01/2013","1058"
"G21","Manchester",384450,398400,"15/01/2007 15:12:26","22/01/2013","1058"
"G210","Altrincham",377027,387927,"16/03/2009 12:23:03","22/01/2013","1058"
"G211","Andover",436080,145840,"05/02/2007 08:41:53","22/01/2013","1058"
"G212","Annan",319350,566390,"05/02/2007 08:41:53","22/01/2013","1058"
"G213","Anniesland",254790,668740,"05/02/2007 08:41:53","22/01/2013","1058"
"G214","Ansdell and Fairhaven",334530,427470,"05/02/2007 08:41:53","22/01/2013","1058"
"G215","Arbroath",363973,740889,"05/02/2007 08:41:53","22/01/2013","1058"
"G216","Ardlui",231740,715640,"05/02/2007 08:41:53","22/01/2013","1058"
"G217","Arrochar",230380,704210,"05/02/2007 08:41:53","22/01/2013","1058"
"G218","Bolton",371890,409010,"23/02/2007 07:52:35","22/01/2013","1058"
"G219","Ashton-under-Lyne",393800,399360,"05/02/2007 08:41:53","22/01/2013","1058"
"G22","Newark",480050,354450,"23/02/2007 07:52:35","22/01/2013","1058"
"G220","Aspatria",314390,541610,"23/02/2007 07:52:35","22/01/2013","1058"
"G221","Atherstone",430610,297790,"23/02/2007 07:52:35","22/01/2013","1058"
"G222","Attleborough",604975,295260,"23/02/2007 07:52:35","22/01/2013","1058"
"G223","Ayr",233720,621560,"05/02/2007 08:41:53","22/01/2013","1058"
"G224","Balloch",238620,681580,"02/06/2006 16:42:36","22/01/2013","1058"
"G225","Banbury",445980,240570,"05/02/2007 08:41:53","22/01/2013","1058"
"G226","Bangor ",257860,372020,"05/02/2007 08:41:53","22/01/2013","1058"
"G227","Barrow-in-Furness",319760,469500,"25/05/2011 17:12:01","22/01/2013","1058"
"G228","Basildon",570420,188400,"05/02/2007 08:41:53","22/01/2013","1058"
