"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300ABA","Aberdeen Ferry Terminal",394550,805994,"22/01/2013","1058",
"9300ABD","Aberdaron Ferry Landing",217300,326300,"22/01/2013","1058",
"9300ACH","Arden - Cameron House Pier",237623,683193,"22/01/2013","1058",
"9300ADG","Ardrishaig Pier",185401,685393,"22/01/2013","1058",
"9300ADL","Ardleish Pier",232951,715169,"22/01/2013","1058",
"9300AGN","St Agnes Isles Of Scilly Ferry Landing",88390,8570,"22/01/2013","1058",
"9300AHB","Aird Mhor Barra Ferry Terminal",72123,803817,"22/01/2013","1058",
"9300ALT","Altnaharrie Ferry Landing",211545,893076,"22/01/2013","1058",
"9300ALU","Ardlui Pier",231789,715566,"22/01/2013","1058",
"9300AMB","Ambleside Waterhead Ferry Landing",337650,503115,"22/01/2013","1058",
"9300AMH","Gigha Ferry Terminal",165344,649003,"22/01/2013","1058",
"9300ANT","Place Ferry Landing",185565,32465,"22/01/2013","1058",
"9300APP","Appledore Ferry Landing",246573,130555,"22/01/2013","1058",
"9300ARD","Ardrossan Ferry Terminal",222350,642135,"22/01/2013","1058",
"9300ARG","Ardgour Ferry Terminal",201683,763625,"22/01/2013","1058",
"9300ARI","Arisaig Ferry Landing",165865,786405,"22/01/2013","1058",
"9300ARM","Armadale Ferry Terminal",163979,803802,"22/01/2013","1058",
"9300ASH","Ashness Gate Derwentwater Ferry Landing",326902,520390,"22/01/2013","1058",
"9300AYR","Ayr Compass Pier",233222,622544,"22/01/2013","1058",
"9300BAD","Badluarach Ferry Landing",199632,894808,"22/01/2013","1058",
"9300BAL","Balloch Pier",238568,682500,"22/01/2013","1058",
"9300BAN","Bantham Ferry Landing",266795,43763,"22/01/2013","1058",
"9300BAR","Barmouth Ferry Landing",261513,315465,"22/01/2013","1058",
"9300BAS","Barrage South Waterbus Stop",318957,172500,"22/01/2013","1058",
"9300BAY","Barry Waterfront Ferry Terminal",311470,167495,"22/01/2013","1058",
"9300BCC","Bristol City Centre Ferry Landing",358565,172745,"22/01/2013","1058",
"9300BCP","Balloch Castle Pier",238697,682985,"22/01/2013","1058",
"9300BDG","Bridgwater Ferry Terminal",330695,138665,"22/01/2013","1058",
"9300BDY","Bawdsey Ferry Landing",633155,237885,"22/01/2013","1058",
"9300BEL","Belvedere Ferry Landing",368432,588445,"22/01/2013","1058",
"9300BFD","Broadford Ferry Terminal",164455,824190,"22/01/2013","1058",
"9300BFN","Bowness Ferry Nab Ferry Landing",339583,495810,"22/01/2013","1058",
"9300BFR","Blackfriars Millennium Pier",531556,180804,"22/01/2013","1058",
"9300BGN","Barrage North Waterbus Stop",319313,173517,"22/01/2013","1058",
"9300BGP","Barrier Gardens Pier",541828,179359,"22/01/2013","1058",
"9300BHH","Bosham Hoe Ferry Landing",480023,102068,"22/01/2013","1058",
"9300BHS","Braehead Shopping Centre Ferry Landing",252319,667304,"22/01/2013","1058",
"9300BID","Bideford Ferry Landing",245500,126690,"22/01/2013","1058",
"9300BLM","Blairmore Pier Ferry Terminal",219536,681737,"22/01/2013","1058",
"9300BLS","Brightlingsea Ferry Landing",608575,216185,"22/01/2013","1058",
